genes	geneUniProtID	compartments
ENSG00000000419	O60762	Endoplasmic reticulum
ENSG00000001036	Q9BTY2	
ENSG00000001084	P48506	
ENSG00000001630	Q16850	Endoplasmic reticulum
ENSG00000002549	P28838	Cytosol
ENSG00000002587	O14792	Golgi apparatus
ENSG00000002726	P19801	
ENSG00000002746	Q76N89	Cytosol
ENSG00000003137	Q9NR63	Endoplasmic reticulum
ENSG00000003987	Q9Y216	Cytosol;Golgi apparatus
ENSG00000003989	P52569	
ENSG00000004455	P54819	
ENSG00000004468	P28907	
ENSG00000004478	Q02790	Cytosol;Nucleus
ENSG00000004779	O14561	
ENSG00000004799	Q16654	
ENSG00000004809	Q86VW1	
ENSG00000004864	Q9UJS0	
ENSG00000004939	P02730	
ENSG00000004961	P53701	
ENSG00000005022	P05141	
ENSG00000005075	P52435	Nucleus
ENSG00000005187	Q53FZ2	
ENSG00000005339	Q92793	Cytosol;Nucleus
ENSG00000005381	P05164	Lysosome
ENSG00000005421	P27169	
ENSG00000005469	Q9UKG9	Peroxisome
ENSG00000005471	P21439	Cytosol
ENSG00000005483	Q8IZD2	Cytosol;Nucleus
ENSG00000005810	O75592	Cytosol;Nucleus
ENSG00000005882	Q15119	
ENSG00000006007	Q9NZC3	Cytosol
ENSG00000006071	Q09428	
ENSG00000006530	Q53H12	
ENSG00000006534	P43353	Cytosol
ENSG00000006625	O75223	
ENSG00000006695	Q12887	
ENSG00000006756	P51689	
ENSG00000006757	P41247	
ENSG00000007001	O95045	
ENSG00000007168	P43034	Cytosol;Nucleus
ENSG00000007171	P35228	Cytosol
ENSG00000007216	Q13183	
ENSG00000007350	P51854	Cytosol;Nucleus
ENSG00000007541	Q9BRB3	
ENSG00000007933	P31513	Endoplasmic reticulum
ENSG00000007944	Q8WY64	Cytosol
ENSG00000008130	O95544	
ENSG00000008300	Q9NYQ7	
ENSG00000008311	Q9UDR5	
ENSG00000008394	P10620	Endoplasmic reticulum
ENSG00000008438	O75594	Cytosol
ENSG00000008513	Q11201	Golgi apparatus
ENSG00000009335	Q15386	
ENSG00000009413	O60673	Nucleus
ENSG00000009830	Q9UKY4	Endoplasmic reticulum
ENSG00000010165	Q8N6R0	Cytosol;Nucleus
ENSG00000010256	P31930	
ENSG00000010379	Q9NSD5	
ENSG00000010404	P22304	Lysosome
ENSG00000010932	Q01740	Endoplasmic reticulum
ENSG00000011009	O95372	Cytosol
ENSG00000011052		
ENSG00000011083	Q99884	
ENSG00000011198	Q8WTS1	Cytosol
ENSG00000011275	Q9NWF9	Cytosol
ENSG00000011405	O00443	Cytosol;Golgi apparatus;Nucleus
ENSG00000012232	O43909	Endoplasmic reticulum;Golgi apparatus
ENSG00000012660	Q9NYP7	Endoplasmic reticulum
ENSG00000012779	P09917	Cytosol;Nucleus
ENSG00000012963	Q8N806	
ENSG00000013288	Q9Y2E5	
ENSG00000013375	O95394	
ENSG00000013392	Q9UIY3	
ENSG00000013503	Q9NW08	Nucleus
ENSG00000013561	Q9UBS8	Cytosol;Nucleus
ENSG00000014138	Q14181	Nucleus
ENSG00000014257	P15309	Cytosol;Lysosome;Nucleus
ENSG00000014641	P40925	Cytosol
ENSG00000015413	P16444	
ENSG00000015520	Q9UHC9	Cytosol
ENSG00000015532	Q9H1B5	Golgi apparatus
ENSG00000016391	Q8NE62	
ENSG00000016864	Q68CQ7	
ENSG00000017260	P98194	Golgi apparatus
ENSG00000017483	Q8WUX1	
ENSG00000017797	Q15311	Cytosol;Nucleus
ENSG00000018280	P49279	
ENSG00000018510	O00116	Peroxisome
ENSG00000018625	P50993	
ENSG00000019186	Q07973	
ENSG00000021461	Q9HB55	Endoplasmic reticulum
ENSG00000021488	P82251	
ENSG00000021826	P31327	Nucleus
ENSG00000023041	Q9H6R6	Endoplasmic reticulum
ENSG00000023228	P28331	
ENSG00000023330	P13196	
ENSG00000023572	Q9NS18	Nucleus
ENSG00000023697	Q9Y315	Cytosol;Nucleus
ENSG00000023839	Q92887	
ENSG00000023909	P48507	
ENSG00000024048	Q8IWV8	Nucleus
ENSG00000025423	O14756	
ENSG00000025708	P19971	
ENSG00000025800	O60684	
ENSG00000026103	P25445	
ENSG00000026652	Q9NRZ5	Endoplasmic reticulum
ENSG00000027847	Q9UBV7	Golgi apparatus
ENSG00000029639	Q8WVM0	
ENSG00000030066	Q12769	Nucleus
ENSG00000031698	P49591	Cytosol;Nucleus
ENSG00000032444	Q8IY17	Endoplasmic reticulum
ENSG00000033011	Q9BT22	Endoplasmic reticulum
ENSG00000033100	Q9P2E5	
ENSG00000033170	Q9BYC5	Golgi apparatus
ENSG00000033178	A0AVT1	
ENSG00000033627	Q93050	Cytosol
ENSG00000033867	Q9Y6M7	
ENSG00000034677	Q9NV58	Cytosol
ENSG00000035687	P30520	Cytosol
ENSG00000036473	P00480	
ENSG00000036530	Q9Y6A2	Endoplasmic reticulum
ENSG00000036565	P54219	Cytosol;Endoplasmic reticulum
ENSG00000036672	O75604	Cytosol;Nucleus
ENSG00000037757	Q9BV20	Cytosol;Nucleus
ENSG00000037897	Q9UBP6	Nucleus
ENSG00000038002	P20933	Lysosome
ENSG00000038210	Q8TCG2	Cytosol;Endoplasmic reticulum;Golgi apparatus
ENSG00000038274	Q9NZL9	
ENSG00000039123	P42285	Nucleus
ENSG00000039650	Q96T60	Nucleus
ENSG00000040933	Q96PE3	Cytosol;Nucleus
ENSG00000041880	Q9Y6F1	Cytosol;Nucleus
ENSG00000043514	Q9H3H1	Cytosol
ENSG00000044446	P46019	Cytosol
ENSG00000047230	Q9NRF8	
ENSG00000047249	Q9UI12	Cytosol
ENSG00000047315	P30876	Nucleus
ENSG00000047410	P12270	Cytosol;Nucleus
ENSG00000047457	P00450	
ENSG00000048028	Q96RU2	Nucleus
ENSG00000048392	Q7LG56	Cytosol;Nucleus
ENSG00000049239	O95479	Endoplasmic reticulum
ENSG00000049759	Q96PU5	Cytosol;Golgi apparatus
ENSG00000049860	P07686	Cytosol;Lysosome
ENSG00000050438	Q2Y0W8	
ENSG00000051341	O75417	Nucleus
ENSG00000051382	P42338	Cytosol;Nucleus
ENSG00000052802	Q15800	Endoplasmic reticulum
ENSG00000053371	O43488	Cytosol;Golgi apparatus
ENSG00000054148	Q9NRX4	Cytosol
ENSG00000054179	Q9Y5L3	Endoplasmic reticulum
ENSG00000054267	Q4LE39	Cytosol;Nucleus
ENSG00000054392	Q5VTY9	Endoplasmic reticulum;Golgi apparatus
ENSG00000054983	P54803	Lysosome
ENSG00000055483	Q9P275	Cytosol;Nucleus
ENSG00000055609	Q8NEZ4	Nucleus
ENSG00000056998	O15488	
ENSG00000057252	P35610	Endoplasmic reticulum
ENSG00000058056	Q92995	
ENSG00000058600	Q9NVU0	Nucleus
ENSG00000058668	P23634	
ENSG00000058804	Q9BTX1	Nucleus
ENSG00000058866	P49619	Cytosol
ENSG00000059377	P24557	Endoplasmic reticulum
ENSG00000059378	Q9H0J9	Nucleus
ENSG00000059573	P54886	
ENSG00000059588	Q13395	
ENSG00000059804	P11169	
ENSG00000060642	Q9NUD9	Endoplasmic reticulum
ENSG00000060762	Q9Y5U8	
ENSG00000060971	P09110	Peroxisome
ENSG00000060982	P54687	Cytosol
ENSG00000061918	Q02153	Cytosol
ENSG00000062282	Q96PD7	Cytosol;Endoplasmic reticulum
ENSG00000062485	O75390	
ENSG00000062822	P28340	Nucleus
ENSG00000063176	Q9NRA0	Cytosol;Lysosome;Endoplasmic reticulum;Nucleus
ENSG00000063601	Q13613	Cytosol
ENSG00000063854	Q16775	Cytosol
ENSG00000064225	Q9Y274	Golgi apparatus
ENSG00000064270	O75185	Golgi apparatus
ENSG00000064601	P10619	Lysosome
ENSG00000064651	P55011	
ENSG00000064763	Q96K12	Peroxisome
ENSG00000065154	P04181	
ENSG00000065357	P23743	Cytosol
ENSG00000065427	Q15046	Cytosol;Nucleus
ENSG00000065485	Q14554	Endoplasmic reticulum
ENSG00000065518	O95168	
ENSG00000065534	Q15746	Cytosol
ENSG00000065615	Q7L1T6	Endoplasmic reticulum
ENSG00000065621	Q9H4Y5	
ENSG00000065833	P48163	Cytosol
ENSG00000065911	P13995	
ENSG00000065923	Q96T83	Golgi apparatus
ENSG00000065989	P27815	Cytosol
ENSG00000066230	P48764	
ENSG00000066322	Q9BW60	Endoplasmic reticulum
ENSG00000066379	Q9P1U0	
ENSG00000066651	Q7Z4G4	
ENSG00000066813	Q68CK6	
ENSG00000066926	P22830	
ENSG00000067057	Q01813	Cytosol
ENSG00000067064	Q13907	Peroxisome
ENSG00000067113	O14494	
ENSG00000067177	P46020	Cytosol
ENSG00000067225	P14618	Cytosol;Nucleus
ENSG00000067365	Q9BUU2	Nucleus
ENSG00000067829	P51553	
ENSG00000067840	Q76G19	
ENSG00000067842	Q16720	
ENSG00000067992	Q15120	
ENSG00000068001	Q12891	
ENSG00000068120	Q13057	Cytosol
ENSG00000068308	Q96G74	Nucleus
ENSG00000068366	O60488	Peroxisome;Endoplasmic reticulum
ENSG00000068383	Q14642	
ENSG00000068438	Q9UET6	Cytosol
ENSG00000068650	P98196	Endoplasmic reticulum
ENSG00000068654	O95602	Nucleus
ENSG00000068745	Q9UHH9	Nucleus
ENSG00000068903	Q8IXJ6	Cytosol;Nucleus
ENSG00000068976	P11217	
ENSG00000069248	Q8WUM0	Cytosol;Nucleus
ENSG00000069431	O60706	
ENSG00000069535	P27338	Cytosol
ENSG00000069667	P35398	Nucleus
ENSG00000069764	O15496	Cytosol;Lysosome
ENSG00000069849	P54709	
ENSG00000069869	P46934	Cytosol;Nucleus
ENSG00000069943	Q92521	Endoplasmic reticulum
ENSG00000070019	P25092	Endoplasmic reticulum
ENSG00000070214	Q8WWI5	
ENSG00000070423	Q9BV68	Cytosol;Nucleus
ENSG00000070501	P06746	Cytosol;Nucleus
ENSG00000070526	Q9NSC7	Golgi apparatus
ENSG00000070610	Q9HCG7	Cytosol;Endoplasmic reticulum;Golgi apparatus
ENSG00000070614	P52848	Golgi apparatus
ENSG00000070669	P08243	
ENSG00000070731	Q9UJ37	Golgi apparatus
ENSG00000070748	P28329	
ENSG00000070915	P55017	
ENSG00000070950	Q9NS91	Cytosol;Nucleus
ENSG00000070961	P20020	Cytosol
ENSG00000071073	Q9UM21	Golgi apparatus
ENSG00000071462	O43709	Cytosol;Lysosome;Nucleus
ENSG00000071553	Q15904	Cytosol;Endoplasmic reticulum
ENSG00000071794	Q14527	Cytosol;Nucleus
ENSG00000071967	Q53TN4	
ENSG00000072041	Q9H2J7	
ENSG00000072042	Q8TC12	Endoplasmic reticulum
ENSG00000072062	P17612	Cytosol;Nucleus
ENSG00000072210	P51648	Cytosol;Endoplasmic reticulum
ENSG00000072274	P02786	
ENSG00000072310	P36956	Cytosol;Endoplasmic reticulum;Golgi apparatus;Nucleus
ENSG00000072401	P51668	Cytosol
ENSG00000072506	Q99714	
ENSG00000072609	Q96EP1	Nucleus
ENSG00000072657	Q9UKU6	
ENSG00000072682	O15460	Endoplasmic reticulum
ENSG00000072756	Q96Q11	
ENSG00000072778	P49748	
ENSG00000073060	Q8WTV0	
ENSG00000073417	O60658	
ENSG00000073578	P31040	
ENSG00000073734	O95342	
ENSG00000073737	Q9BPW9	Endoplasmic reticulum
ENSG00000073756	P35354	Endoplasmic reticulum;Nucleus
ENSG00000073849	P15907	Golgi apparatus
ENSG00000074370	Q93084	Endoplasmic reticulum;Nucleus
ENSG00000074410	O43570	
ENSG00000074416	Q99685	Cytosol
ENSG00000074621	O60721	
ENSG00000074696	Q9P035	Endoplasmic reticulum
ENSG00000074800	P06733	Cytosol;Nucleus
ENSG00000074803	Q13621	
ENSG00000075188	Q8NFH4	Nucleus
ENSG00000075239	P24752	
ENSG00000075415	Q00325	
ENSG00000075651	Q13393	Cytosol;Endoplasmic reticulum;Golgi apparatus
ENSG00000075673	P54707	
ENSG00000075975	Q9H000	Cytosol;Nucleus
ENSG00000076258	P31512	Endoplasmic reticulum
ENSG00000076351	Q96NT5	Cytosol
ENSG00000076555	O00763	
ENSG00000076685	P49902	Cytosol
ENSG00000077009	Q9NPI5	
ENSG00000077044	Q16760	Cytosol
ENSG00000077152	Q9NPD8	Nucleus
ENSG00000077254	Q8TEY7	Cytosol;Golgi apparatus
ENSG00000077463	Q8N6T7	Endoplasmic reticulum;Nucleus
ENSG00000077498	P14679	
ENSG00000077514	Q15054	Cytosol;Nucleus
ENSG00000077721	P49459	
ENSG00000077800	O75344	Cytosol;Nucleus
ENSG00000078070	Q96RQ3	
ENSG00000078124	Q9NUN7	Endoplasmic reticulum;Golgi apparatus
ENSG00000078140	P61086	Cytosol
ENSG00000078142	Q8NEB9	Cytosol
ENSG00000078237	Q9NQ88	Cytosol;Nucleus
ENSG00000078269	O15056	Cytosol;Nucleus
ENSG00000078295	Q08462	Cytosol
ENSG00000078747	Q96J02	Cytosol;Nucleus
ENSG00000078967	Q9Y2X8	
ENSG00000079150	Q9Y680	Endoplasmic reticulum
ENSG00000079215	P43003	
ENSG00000079435	Q05469	Cytosol
ENSG00000079459	P37268	Endoplasmic reticulum
ENSG00000079462	Q15102	Cytosol
ENSG00000079739	P36871	Cytosol
ENSG00000079805	P50570	Cytosol
ENSG00000080166	P40126	
ENSG00000080493	Q9Y6R1	
ENSG00000080511	Q9NYR8	
ENSG00000080802	O95628	Cytosol;Nucleus
ENSG00000080819	P36551	
ENSG00000081181	P78540	
ENSG00000081479	P98164	
ENSG00000081760	Q86V21	
ENSG00000081800	Q9BZW2	
ENSG00000081923	O43520	Endoplasmic reticulum;Golgi apparatus
ENSG00000082014	Q6STE5	Nucleus
ENSG00000082212	P23368	
ENSG00000082996	O43567	Lysosome;Endoplasmic reticulum;Nucleus
ENSG00000083123	P21953	
ENSG00000083168	Q92794	Nucleus
ENSG00000083223	Q5VYS8	Cytosol
ENSG00000083444	Q02809	Endoplasmic reticulum
ENSG00000083720	P55809	
ENSG00000083799	Q9NQC7	Cytosol
ENSG00000083807	Q9Y2P5	Endoplasmic reticulum
ENSG00000084072	Q9UNP9	Nucleus
ENSG00000084073	O75844	Endoplasmic reticulum;Nucleus
ENSG00000084090	Q9NQZ5	
ENSG00000084110	P42357	
ENSG00000084207	P09211	Cytosol;Nucleus
ENSG00000084453	P46721	
ENSG00000084674	P04114	Cytosol
ENSG00000084676	Q15788	Nucleus
ENSG00000084754	P40939	
ENSG00000084774	P27708	Cytosol;Nucleus
ENSG00000085231	Q9Y3D8	Nucleus
ENSG00000085377	P48147	Cytosol
ENSG00000085382	Q8IYU2	Cytosol;Endoplasmic reticulum;Golgi apparatus
ENSG00000085415	Q96EE3	Lysosome;Nucleus
ENSG00000085563	P08183	
ENSG00000085662	P15121	Cytosol
ENSG00000085871	Q99735	Endoplasmic reticulum
ENSG00000085982	Q9NVE5	
ENSG00000085998	Q8WZA1	Golgi apparatus
ENSG00000086062	P15291	Golgi apparatus
ENSG00000086159	Q13520	Cytosol
ENSG00000086475	P49903	Cytosol;Nucleus
ENSG00000086544	Q96DU7	Cytosol;Nucleus
ENSG00000086696	P37059	Endoplasmic reticulum
ENSG00000086758	Q7Z6Z7	Cytosol;Nucleus
ENSG00000086848	Q9H6U8	Endoplasmic reticulum
ENSG00000087008	O15254	Peroxisome
ENSG00000087053	Q13614	Cytosol
ENSG00000087076	Q9BPX1	Cytosol
ENSG00000087085	P22303	Nucleus
ENSG00000087111	Q96S52	Endoplasmic reticulum
ENSG00000087157	Q32NB8	
ENSG00000087253	Q7L5N7	Endoplasmic reticulum;Golgi apparatus
ENSG00000087299	Q9H9P8	
ENSG00000087470	O00429	Peroxisome;Cytosol;Endoplasmic reticulum;Golgi apparatus
ENSG00000087995	Q96IZ6	Cytosol
ENSG00000088002	O00204	Cytosol;Nucleus
ENSG00000088035	Q9Y672	Endoplasmic reticulum
ENSG00000088305	Q9UBC3	Nucleus
ENSG00000088386	P46059	
ENSG00000088451	O95455	
ENSG00000088766	Q9UJA2	
ENSG00000088826	Q9NWM0	Cytosol;Nucleus
ENSG00000088832	P62942	Cytosol
ENSG00000089057	Q9UGH3	
ENSG00000089060	Q6J4K2	
ENSG00000089234	Q7Z569	Cytosol
ENSG00000089250	P29475	
ENSG00000089472	Q9BQS7	
ENSG00000089597	Q14697	Endoplasmic reticulum;Golgi apparatus
ENSG00000090013	P30043	Cytosol
ENSG00000090020	P19634	Endoplasmic reticulum
ENSG00000090054	O15269	Endoplasmic reticulum
ENSG00000090060	P51003	Cytosol;Nucleus
ENSG00000090266	O95178	
ENSG00000090402	P14410	
ENSG00000090432	Q969V5	Peroxisome
ENSG00000090661	Q9HA82	Endoplasmic reticulum
ENSG00000090686	Q86UV5	Cytosol;Nucleus
ENSG00000090857	Q8NCN5	
ENSG00000090861	P49588	Cytosol
ENSG00000090971	Q8WUY8	
ENSG00000091137	O43511	
ENSG00000091138	P40879	
ENSG00000091140	P09622	Cytosol;Nucleus
ENSG00000091483	P07954	Cytosol;Nucleus
ENSG00000091664	Q9P2U8	
ENSG00000091704	P15085	
ENSG00000092009	P23946	Cytosol
ENSG00000092068	Q9UHI5	Cytosol
ENSG00000092098	Q96EP0	Cytosol
ENSG00000092148	Q9ULT8	
ENSG00000092295	P22735	
ENSG00000092529	P20807	Cytosol;Nucleus
ENSG00000092621	O43175	
ENSG00000092964	Q16555	Cytosol
ENSG00000093000	Q9UKX7	Nucleus
ENSG00000093010	P21964	Cytosol
ENSG00000093072	Q9NZK5	
ENSG00000093217	O75191	
ENSG00000094841	Q96BW1	Cytosol;Nucleus
ENSG00000094914	Q9NRG9	Cytosol;Nucleus
ENSG00000094963	Q99518	Endoplasmic reticulum
ENSG00000095059	P49366	
ENSG00000095139	P48444	Cytosol;Golgi apparatus
ENSG00000095303	P23219	Endoplasmic reticulum
ENSG00000095319	Q5SRE5	Nucleus
ENSG00000095321	P43155	Peroxisome;Endoplasmic reticulum
ENSG00000095380	Q9NR45	
ENSG00000095464	P51160	Cytosol
ENSG00000095596	O43174	Endoplasmic reticulum
ENSG00000095917	Q9BZJ3	
ENSG00000096006	P54108	
ENSG00000096060	Q13451	Cytosol;Nucleus
ENSG00000096717	Q96EB6	Cytosol;Nucleus
ENSG00000097021	O00154	Cytosol
ENSG00000097033	Q9Y371	Cytosol;Golgi apparatus
ENSG00000099194	O00767	Endoplasmic reticulum
ENSG00000099377	Q9H2F3	Endoplasmic reticulum
ENSG00000099381	O15047	Nucleus
ENSG00000099624	P30049	
ENSG00000099785	Q9P0N8	Cytosol;Lysosome;Endoplasmic reticulum;Golgi apparatus
ENSG00000099795	P17568	
ENSG00000099797	Q9NZ01	Endoplasmic reticulum
ENSG00000099804	P49427	Cytosol;Nucleus
ENSG00000099810	Q13126	Cytosol;Nucleus
ENSG00000099817	P19388	Nucleus
ENSG00000099821	O00411	
ENSG00000099904	Q9ULC8	Golgi apparatus
ENSG00000099984		
ENSG00000099998	P36269	
ENSG00000100023	Q13356	Cytosol;Nucleus
ENSG00000100024	Q9UBR1	Cytosol
ENSG00000100031	P19440	
ENSG00000100033	O43272	
ENSG00000100075	P53007	
ENSG00000100077	P35626	
ENSG00000100078	Q9NZ20	Cytosol
ENSG00000100092	Q9Y3L3	Cytosol;Nucleus
ENSG00000100101		
ENSG00000100116	O75600	Nucleus
ENSG00000100121	Q14390	
ENSG00000100142	P61218	Nucleus
ENSG00000100156	O95907	Cytosol
ENSG00000100170	P13866	
ENSG00000100197	P10635	Endoplasmic reticulum
ENSG00000100243	P00387	Cytosol;Endoplasmic reticulum
ENSG00000100253	Q9UGB7	Cytosol
ENSG00000100288	Q9Y259	
ENSG00000100292	P09601	Cytosol;Endoplasmic reticulum
ENSG00000100294	Q8IVS2	
ENSG00000100299	P15289	Lysosome;Endoplasmic reticulum
ENSG00000100344	Q9NST1	
ENSG00000100348	Q99757	
ENSG00000100354	Q9UPQ9	Cytosol
ENSG00000100372	O43808	Peroxisome;Cytosol
ENSG00000100393	Q09472	Cytosol;Nucleus
ENSG00000100412	Q99798	
ENSG00000100413	Q9Y535	Nucleus
ENSG00000100416	O75648	
ENSG00000100417	Q92871	Cytosol
ENSG00000100422	Q8TCT0	Cytosol
ENSG00000100442	Q00688	Nucleus
ENSG00000100448	P08311	Cytosol;Lysosome;Nucleus
ENSG00000100462	O14744	Cytosol;Golgi apparatus;Nucleus
ENSG00000100479	P56282	Nucleus
ENSG00000100483	Q9H867	Cytosol
ENSG00000100504	P06737	Cytosol
ENSG00000100522	Q96EK6	Golgi apparatus
ENSG00000100554	Q9Y5K8	Cytosol
ENSG00000100564	Q14442	Cytosol
ENSG00000100577	O43708	Cytosol
ENSG00000100596	O15270	Endoplasmic reticulum
ENSG00000100600	Q99538	Lysosome
ENSG00000100605	Q13572	
ENSG00000100626	Q8N428	Golgi apparatus
ENSG00000100644	Q16665	Cytosol;Nucleus
ENSG00000100652	Q14973	
ENSG00000100678	P57103	Cytosol;Endoplasmic reticulum
ENSG00000100714	P11586	Cytosol
ENSG00000100814	Q9NPC3	Nucleus
ENSG00000100865	Q9BW66	Nucleus
ENSG00000100867	Q13268	Nucleus
ENSG00000100889	Q16822	
ENSG00000100938	Q9P2T1	
ENSG00000100979	P55058	Nucleus
ENSG00000100983	P48637	
ENSG00000100994	P11216	
ENSG00000100997	Q8N2K0	Endoplasmic reticulum
ENSG00000101146	P78406	Cytosol;Nucleus
ENSG00000101160	Q9UBR2	Lysosome
ENSG00000101187	Q96BD0	
ENSG00000101210	Q05639	Nucleus
ENSG00000101247	Q5TEU4	
ENSG00000101255	Q96RU7	Nucleus
ENSG00000101276	Q9NQ40	Cytosol;Nucleus
ENSG00000101290	O95674	Endoplasmic reticulum
ENSG00000101306	Q9H1R3	Cytosol
ENSG00000101323	Q9UJM8	Peroxisome
ENSG00000101333	Q15147	
ENSG00000101365	O43837	
ENSG00000101438	Q9H598	
ENSG00000101444	P23526	Cytosol
ENSG00000101464	Q9H490	Endoplasmic reticulum
ENSG00000101473	O14734	Peroxisome;Cytosol
ENSG00000101557	P54578	Cytosol
ENSG00000101558	Q9P0L0	Cytosol;Endoplasmic reticulum;Nucleus
ENSG00000101574	Q8N3J2	Cytosol;Nucleus
ENSG00000101577	Q92539	Cytosol;Endoplasmic reticulum;Nucleus
ENSG00000101638	O15466	Golgi apparatus
ENSG00000101654	O43148	Nucleus
ENSG00000101670	Q9Y5X9	
ENSG00000101695	Q96EQ8	Golgi apparatus
ENSG00000101751	Q9UNA4	Nucleus
ENSG00000101752	Q86YT6	Cytosol
ENSG00000101846	P08842	Cytosol;Endoplasmic reticulum
ENSG00000101849	O60907	Nucleus
ENSG00000101868	P09884	Cytosol;Nucleus
ENSG00000101871	O15344	Cytosol
ENSG00000101890	P51841	
ENSG00000101892	Q9UN42	Nucleus
ENSG00000101901	Q9NP73	Cytosol;Endoplasmic reticulum
ENSG00000101911	P11908	
ENSG00000101945	O43463	Nucleus
ENSG00000101974	Q8NB49	Endoplasmic reticulum
ENSG00000101986	P33897	Peroxisome;Lysosome;Endoplasmic reticulum
ENSG00000102030	P41227	Cytosol;Nucleus
ENSG00000102032	P51606	
ENSG00000102043	Q96EF0	Nucleus
ENSG00000102078	O95258	
ENSG00000102100	P78381	Golgi apparatus
ENSG00000102125	Q16635	Cytosol
ENSG00000102144	P00558	Cytosol
ENSG00000102172	P52788	
ENSG00000102226	P51784	Cytosol;Nucleus
ENSG00000102230	Q9Y5K3	Cytosol;Endoplasmic reticulum
ENSG00000102309	Q9Y237	Cytosol;Nucleus
ENSG00000102312	Q9H237	Endoplasmic reticulum
ENSG00000102383	Q96MV8	Golgi apparatus
ENSG00000102393	P06280	Lysosome
ENSG00000102575	P13686	Lysosome
ENSG00000102595	Q9NYU1	Endoplasmic reticulum
ENSG00000102699	Q9UKK3	Cytosol;Nucleus
ENSG00000102743	Q9Y619	
ENSG00000102780	Q86XP1	Cytosol
ENSG00000102858	O60291	Cytosol;Nucleus
ENSG00000102893	Q93100	Cytosol
ENSG00000102900	Q8N1F7	Nucleus
ENSG00000102967	Q02127	
ENSG00000102978	P19387	Nucleus
ENSG00000103024	Q13232	
ENSG00000103037	Q8TBK2	Nucleus
ENSG00000103044	O00219	Cytosol;Endoplasmic reticulum;Golgi apparatus
ENSG00000103056	Q9NY59	Golgi apparatus
ENSG00000103064	Q92536	
ENSG00000103066	Q8NCC3	Lysosome
ENSG00000103150	O95822	Peroxisome;Cytosol
ENSG00000103174	Q9UK23	Golgi apparatus
ENSG00000103194	Q14694	Cytosol;Nucleus
ENSG00000103202	O00746	
ENSG00000103222	P33527	
ENSG00000103253	Q6PII5	
ENSG00000103257	Q01650	Lysosome
ENSG00000103266	Q9UNE7	Cytosol;Nucleus
ENSG00000103275	P63279	Cytosol;Nucleus
ENSG00000103375	O94778	
ENSG00000103404	Q70CQ4	
ENSG00000103415	P30519	Cytosol;Endoplasmic reticulum
ENSG00000103485	Q15274	
ENSG00000103489	Q86Y38	Golgi apparatus
ENSG00000103502	O14735	Endoplasmic reticulum
ENSG00000103507	O14874	
ENSG00000103510	Q9H7Z6	Nucleus
ENSG00000103546	P23975	
ENSG00000103549	O75150	Nucleus
ENSG00000103569	O43315	
ENSG00000103657	Q15751	Cytosol;Golgi apparatus
ENSG00000103707	Q96DP5	
ENSG00000103740	Q96GR2	Cytosol;Endoplasmic reticulum
ENSG00000103811	P09668	Lysosome
