genes	geneUniProtID	compartments
ENSG00000103876	P16930	
ENSG00000104044	Q04671	
ENSG00000104055	O43548	Cytosol
ENSG00000104219	Q9UIJ5	Endoplasmic reticulum;Golgi apparatus
ENSG00000104267	P00918	Cytosol
ENSG00000104325	Q16698	
ENSG00000104331	Q9NX62	Golgi apparatus
ENSG00000104343	Q96B02	Nucleus
ENSG00000104517	O95071	Nucleus
ENSG00000104522	Q13630	
ENSG00000104524	Q53H96	Cytosol
ENSG00000104549	Q14534	Endoplasmic reticulum
ENSG00000104635	Q15043	Lysosome
ENSG00000104687	P00390	Cytosol
ENSG00000104723	Q13454	Endoplasmic reticulum
ENSG00000104763	Q13510	Cytosol;Lysosome;Nucleus
ENSG00000104774	O00754	Lysosome
ENSG00000104808	Q9UQ10	
ENSG00000104812	P13807	
ENSG00000104823	Q13011	Peroxisome
ENSG00000104879	P06732	Cytosol
ENSG00000104885	Q8TEK3	Nucleus
ENSG00000104888	Q9P2U7	
ENSG00000104907	Q9NXH9	
ENSG00000104951	Q96RQ9	Cytosol;Lysosome
ENSG00000105143	P48664	
ENSG00000105198	Q9UHV8	Cytosol;Nucleus
ENSG00000105202	P22087	Nucleus
ENSG00000105205	Q05315	Cytosol
ENSG00000105220	P06744	Cytosol
ENSG00000105223	Q8IV08	Lysosome;Endoplasmic reticulum;Golgi apparatus
ENSG00000105254	Q99426	Cytosol
ENSG00000105258	P36954	Nucleus
ENSG00000105281	Q15758	
ENSG00000105355	O60664	Cytosol
ENSG00000105379	P38117	
ENSG00000105398	Q06520	Cytosol
ENSG00000105409	P13637	
ENSG00000105499	Q9UP65	Endoplasmic reticulum
ENSG00000105509	Q92839	
ENSG00000105516	Q10586	Nucleus
ENSG00000105520	Q96GM1	
ENSG00000105552	O15382	
ENSG00000105607	Q92947	
ENSG00000105641	Q92911	Cytosol
ENSG00000105647	O00459	
ENSG00000105650	Q08493	
ENSG00000105655	Q9NPH2	Cytosol
ENSG00000105669	O14579	Cytosol;Golgi apparatus
ENSG00000105675	P20648	
ENSG00000105679	O14556	Cytosol
ENSG00000105701	Q14318	Cytosol
ENSG00000105835	P43490	Cytosol;Nucleus
ENSG00000105851	P48736	Cytosol
ENSG00000105852	Q15166	
ENSG00000105854	Q15165	
ENSG00000105879	Q75N03	Cytosol;Nucleus
ENSG00000105929	Q9HBG4	
ENSG00000105939	Q7Z2W4	Cytosol;Nucleus
ENSG00000105953	Q02218	Nucleus
ENSG00000106049	P31937	
ENSG00000106080	Q9NWM8	Endoplasmic reticulum
ENSG00000106105	P41250	Cytosol;Golgi apparatus
ENSG00000106258	P20815	Endoplasmic reticulum
ENSG00000106302	Q2M3T9	
ENSG00000106304	P38567	
ENSG00000106346	Q9H9J4	
ENSG00000106348	P20839	Cytosol;Nucleus
ENSG00000106384	Q86VF5	Cytosol;Endoplasmic reticulum
ENSG00000106392	Q9NS00	
ENSG00000106397	O60568	Endoplasmic reticulum
ENSG00000106459	Q16656	Nucleus
ENSG00000106462	Q15910	Nucleus
ENSG00000106605	P53004	Cytosol
ENSG00000106628	P49005	Nucleus
ENSG00000106633	P35557	Cytosol;Nucleus
ENSG00000106636	O15498	Cytosol;Golgi apparatus
ENSG00000106648	Q7Z4T8	
ENSG00000106688	P43005	
ENSG00000106733	Q9NWW6	
ENSG00000106853	Q14914	Cytosol
ENSG00000106976	Q05193	Cytosol
ENSG00000106992	P00568	Cytosol
ENSG00000107159	Q16790	Nucleus
ENSG00000107165	P17643	
ENSG00000107242	O14986	Cytosol
ENSG00000107317	P41222	Cytosol;Endoplasmic reticulum;Golgi apparatus;Nucleus
ENSG00000107341	Q712K3	
ENSG00000107537	O14832	Peroxisome
ENSG00000107611	O60494	Lysosome
ENSG00000107614	O14717	Cytosol
ENSG00000107669	O95260	
ENSG00000107789	Q9UNW1	Endoplasmic reticulum
ENSG00000107798	P38571	Lysosome
ENSG00000107819	Q9BWM7	
ENSG00000107854	Q9H2K2	Cytosol;Golgi apparatus;Nucleus
ENSG00000107902	Q9H008	Cytosol;Nucleus
ENSG00000107951	Q9NVV4	Cytosol
ENSG00000107954	O76050	
ENSG00000108106	Q16763	
ENSG00000108179	P30405	
ENSG00000108242	P33260	Endoplasmic reticulum
ENSG00000108381	P45381	Cytosol;Nucleus
ENSG00000108439	Q9NVS9	
ENSG00000108468	P83916	Nucleus
ENSG00000108474	Q9Y2B2	Endoplasmic reticulum
ENSG00000108479	P51570	
ENSG00000108515	P13929	Cytosol
ENSG00000108523	Q9H6Y7	Cytosol;Lysosome
ENSG00000108528	Q02978	
ENSG00000108559	Q99567	Nucleus
ENSG00000108576	P31645	
ENSG00000108592	Q8IY81	Nucleus
ENSG00000108602	P30838	Cytosol
ENSG00000108773	Q92830	Cytosol;Nucleus
ENSG00000108784	P54802	Lysosome
ENSG00000108786	P14061	Cytosol
ENSG00000108799	Q92800	Nucleus
ENSG00000108813	Q92988	Nucleus
ENSG00000108839	P18054	Cytosol
ENSG00000108846	O15438	
ENSG00000108854	Q9HAU4	Cytosol;Nucleus
ENSG00000108932	O15403	
ENSG00000109065	Q9BTE0	
ENSG00000109107	P09972	
ENSG00000109181	P36537	
ENSG00000109189	P62068	
ENSG00000109193	P49888	Cytosol
ENSG00000109323	O00462	Lysosome
ENSG00000109332	P61077	
ENSG00000109390	O43677	
ENSG00000109424	P25874	
ENSG00000109452	O15327	
ENSG00000109576	Q8N5Z0	
ENSG00000109586	Q86SF2	Golgi apparatus
ENSG00000109610	P08294	Golgi apparatus
ENSG00000109667	Q9NRM0	
ENSG00000109685	O96028	Cytosol;Nucleus
ENSG00000109743	Q10588	
ENSG00000109814	O60701	
ENSG00000109854	Q9BUP3	Cytosol;Nucleus
ENSG00000109861	P53634	Lysosome
ENSG00000109929	O75845	Endoplasmic reticulum
ENSG00000109956	Q9P2W7	Endoplasmic reticulum;Golgi apparatus
ENSG00000110013	Q9HAT2	Lysosome
ENSG00000110066	Q4FZB7	Nucleus
ENSG00000110080	Q11206	Golgi apparatus
ENSG00000110090	P50416	
ENSG00000110195	P15328	Cytosol
ENSG00000110203	P41439	
ENSG00000110243	Q6Q788	Lysosome;Golgi apparatus
ENSG00000110245	P02656	
ENSG00000110328	Q6P9A2	Golgi apparatus
ENSG00000110344	Q14139	Cytosol
ENSG00000110395	P22681	Cytosol;Golgi apparatus
ENSG00000110435	O00330	
ENSG00000110436	P43004	
ENSG00000110446	Q8IY34	Lysosome
ENSG00000110536	Q8WUK0	
ENSG00000110583	Q86UY6	Cytosol;Nucleus
ENSG00000110619	P49589	Cytosol
ENSG00000110628	Q96BI1	
ENSG00000110713	P52948	Nucleus
ENSG00000110717	O00217	
ENSG00000110719	Q13488	
ENSG00000110721	P35790	Cytosol
ENSG00000110871	Q5HYK3	
ENSG00000110887	P14920	Peroxisome
ENSG00000110911	P49281	
ENSG00000110921	Q03426	Peroxisome;Cytosol
ENSG00000110955	P06576	
ENSG00000110958	Q15185	Cytosol
ENSG00000111012	O15528	
ENSG00000111058	Q9H6R3	
ENSG00000111077	Q63HR2	Cytosol
ENSG00000111144	P09960	Cytosol
ENSG00000111181	P48065	
ENSG00000111218	Q9NR22	Cytosol
ENSG00000111224	Q9NR21	Nucleus
ENSG00000111237	Q9UBQ0	Cytosol
ENSG00000111261	Q9H8J5	
ENSG00000111271	Q6JQN1	
ENSG00000111275	P05091	
ENSG00000111339	Q93070	
ENSG00000111371	Q9H2H9	
ENSG00000111445	P40937	Nucleus
ENSG00000111581	P57740	Cytosol;Nucleus
ENSG00000111640	P04406	Cytosol;Nucleus
ENSG00000111641	P46087	Nucleus
ENSG00000111666	Q8WUD6	Golgi apparatus
ENSG00000111667	P45974	
ENSG00000111669	P60174	Cytosol
ENSG00000111670	Q3T906	Golgi apparatus
ENSG00000111674	P09104	Cytosol
ENSG00000111684	Q6P1A2	Endoplasmic reticulum
ENSG00000111696	Q86UY8	
ENSG00000111700	Q9NPD5	
ENSG00000111713	P54840	
ENSG00000111716	P07195	Cytosol
ENSG00000111726	Q8NFW8	Nucleus
ENSG00000111728	Q92185	Golgi apparatus
ENSG00000111732	Q9GZX7	Cytosol;Nucleus
ENSG00000111775	P12074	
ENSG00000111817	Q9UL01	Cytosol;Endoplasmic reticulum;Golgi apparatus
ENSG00000111846	Q8N0V5	Golgi apparatus
ENSG00000111880	O60942	Nucleus
ENSG00000111885	P33908	Golgi apparatus
ENSG00000111962	Q9Y2C2	
ENSG00000112053	Q96RN1	
ENSG00000112077	Q02094	
ENSG00000112096	P04179	
ENSG00000112130	O76064	Cytosol;Nucleus
ENSG00000112293	P80108	
ENSG00000112294	P51649	
ENSG00000112299	O95497	
ENSG00000112303	O95498	
ENSG00000112304	Q9NPJ3	Cytosol;Nucleus
ENSG00000112309	Q9NPZ5	Golgi apparatus
ENSG00000112337	O00624	
ENSG00000112367	Q92562	
ENSG00000112394	Q8TF71	
ENSG00000112473	Q92504	Endoplasmic reticulum;Golgi apparatus
ENSG00000112499	O15244	
ENSG00000112541	Q9Y233	Cytosol
ENSG00000112695	P14406	
ENSG00000112699	O60547	
ENSG00000112759	Q99808	
ENSG00000112874	Q9BQG2	Peroxisome;Cytosol
ENSG00000112893	Q16706	Golgi apparatus
ENSG00000112941	Q5XG87	Cytosol;Nucleus
ENSG00000112972	Q01581	Cytosol
ENSG00000112981	P56597	
ENSG00000112992	Q13423	
ENSG00000113073	Q96Q91	
ENSG00000113083	P28300	
ENSG00000113161	P04035	Peroxisome;Endoplasmic reticulum
ENSG00000113163	Q9Y5P4	Cytosol;Endoplasmic reticulum;Golgi apparatus
ENSG00000113231	O95263	
ENSG00000113269	Q86XS8	Cytosol
ENSG00000113273	P15848	Lysosome
ENSG00000113356	O15318	Cytosol;Nucleus
ENSG00000113396	Q9Y2P4	
ENSG00000113407	P26639	Cytosol
ENSG00000113448	Q08499	Cytosol
ENSG00000113456	O60671	Nucleus
ENSG00000113492	Q9BYV1	
ENSG00000113504	Q9Y666	
ENSG00000113532	Q92187	Golgi apparatus
ENSG00000113552	P46926	Cytosol
ENSG00000113569	O75694	Cytosol;Nucleus
ENSG00000113593	Q96BP3	Nucleus
ENSG00000113643	P54136	Cytosol
ENSG00000113657	Q14195	Cytosol
ENSG00000113732	O15342	
ENSG00000113790	Q08426	Peroxisome
ENSG00000113924	Q93099	
ENSG00000114021	Q9NQR4	Cytosol
ENSG00000114054	P05166	
ENSG00000114062	Q05086	Cytosol;Nucleus
ENSG00000114113	P50120	
ENSG00000114115	P09455	Cytosol
ENSG00000114124	Q8WTQ7	
ENSG00000114166	Q92831	Cytosol;Nucleus
ENSG00000114200	P06276	
ENSG00000114268	Q16877	
ENSG00000114316	Q13107	Cytosol;Nucleus
ENSG00000114374	O00507	
ENSG00000114378	Q12794	Lysosome
ENSG00000114423	Q13191	Cytosol
ENSG00000114480	Q04446	
ENSG00000114491	P11172	
ENSG00000114573	P38606	Cytosol;Lysosome
ENSG00000114735	Q9Y5R4	
ENSG00000114770	O15440	Cytosol;Golgi apparatus
ENSG00000114771	P22760	Endoplasmic reticulum
ENSG00000114786		
ENSG00000114805	Q4KWH8	Cytosol
ENSG00000114857	P30414	
ENSG00000114902	Q9Y6A9	Endoplasmic reticulum
ENSG00000114923	P48751	
ENSG00000114956	Q16854	
ENSG00000114982	Q9P2N6	Nucleus
ENSG00000114999	Q8NG68	
ENSG00000115020	Q9Y2I7	Cytosol
ENSG00000115159	P43304	
ENSG00000115252	P54750	
ENSG00000115275	Q13724	Endoplasmic reticulum
ENSG00000115286	O75251	
ENSG00000115339	Q14435	Golgi apparatus
ENSG00000115350	Q9NR33	Nucleus
ENSG00000115361	P28330	
ENSG00000115392	Q9NW38	Cytosol;Nucleus
ENSG00000115419	O94925	Cytosol
ENSG00000115421	Q9BWT3	Nucleus
ENSG00000115425	Q9BY49	Peroxisome
ENSG00000115464	Q70CQ2	
ENSG00000115488	Q9Y3R4	Cytosol
ENSG00000115525	Q9UNP4	Golgi apparatus
ENSG00000115526	O43529	Golgi apparatus
ENSG00000115556	Q9BRC7	Cytosol;Endoplasmic reticulum;Nucleus
ENSG00000115616	Q9UBY0	
ENSG00000115641	Q14192	Cytosol;Nucleus
ENSG00000115652	Q8NBZ7	Golgi apparatus
ENSG00000115657	Q9NP58	Lysosome;Endoplasmic reticulum;Golgi apparatus
ENSG00000115665	Q9GZV3	
ENSG00000115677	Q00341	Cytosol;Nucleus
ENSG00000115705	P07202	
ENSG00000115758	P11926	
ENSG00000115760	Q9NR09	Cytosol;Golgi apparatus
ENSG00000115828	Q16769	
ENSG00000115840	O75746	
ENSG00000115850	P09848	
ENSG00000115866	P14868	Cytosol
ENSG00000115884	P18827	
ENSG00000115896	Q15111	Cytosol
ENSG00000115902	P43007	
ENSG00000115919	Q16719	Cytosol
ENSG00000116005	Q9UHG3	Lysosome
ENSG00000116039	P15313	
ENSG00000116096	P35270	Cytosol
ENSG00000116120	Q9NSD9	Cytosol
ENSG00000116133	Q15392	Endoplasmic reticulum;Golgi apparatus
ENSG00000116157	Q96SL4	
ENSG00000116171	P22307	Peroxisome;Cytosol;Endoplasmic reticulum
ENSG00000116199	O75063	Golgi apparatus
ENSG00000116237	O60725	Endoplasmic reticulum
ENSG00000116337	Q01433	
ENSG00000116353	Q9BV79	Cytosol;Nucleus
ENSG00000116459	P24539	
ENSG00000116514	Q6ZMZ0	Cytosol;Endoplasmic reticulum
ENSG00000116539	Q9NR48	Nucleus
ENSG00000116649	P19623	
ENSG00000116704	Q9NTN3	
ENSG00000116711	P47712	Cytosol;Golgi apparatus;Nucleus
ENSG00000116745	Q16518	Cytosol
ENSG00000116748	P23109	
ENSG00000116761	P32929	Cytosol
ENSG00000116771	Q9BSE5	
ENSG00000116783	Q59H18	Cytosol;Nucleus
ENSG00000116791	Q08257	Cytosol
ENSG00000116882	Q9NYQ3	Peroxisome
ENSG00000116906	O15228	Peroxisome
ENSG00000116981	Q9BXI3	Cytosol
ENSG00000116984	Q99707	Cytosol
ENSG00000117009	O15229	
ENSG00000117054	P11310	
ENSG00000117069	Q9BVH7	Golgi apparatus
ENSG00000117115	Q9Y2J8	Cytosol
ENSG00000117118	P21912	
ENSG00000117143	Q16222	Cytosol
ENSG00000117215	Q9UNK4	
ENSG00000117305	P35914	Peroxisome
ENSG00000117308	Q14376	
ENSG00000117394	P11166	
ENSG00000117410	Q99437	Cytosol
ENSG00000117411	O60909	Golgi apparatus
ENSG00000117448	P14550	Cytosol
ENSG00000117450	Q06830	Cytosol
ENSG00000117461	Q92569	
ENSG00000117479	O60779	
ENSG00000117480	O00519	Cytosol
ENSG00000117481	Q96CB9	
ENSG00000117528	P28288	Peroxisome
ENSG00000117543	Q9H2P9	
ENSG00000117592	P30041	Cytosol;Lysosome
ENSG00000117594	P28845	Endoplasmic reticulum
ENSG00000117598	Q32ZL2	
ENSG00000117600	Q7Z2D5	
ENSG00000117620	Q9Y2D2	Golgi apparatus
ENSG00000117643	Q9NR34	Golgi apparatus
ENSG00000117682	Q86SQ9	Endoplasmic reticulum
ENSG00000117834	Q2M3M2	
ENSG00000117984	P07339	Lysosome
ENSG00000118017	Q9UNA3	Golgi apparatus
ENSG00000118058	Q03164	Nucleus
ENSG00000118094	O43280	
ENSG00000118137	P02647	
ENSG00000118160	Q9UPR5	
ENSG00000118276	Q9UBX8	Golgi apparatus
ENSG00000118298	Q9ULX7	
ENSG00000118363	Q15005	Endoplasmic reticulum
ENSG00000118369	Q9P2H5	
ENSG00000118402	Q9GZR5	Endoplasmic reticulum
ENSG00000118514	Q9H2A2	Cytosol
ENSG00000118518	Q9NTX7	Cytosol;Nucleus
ENSG00000118520	P05089	Cytosol
ENSG00000118523	P29279	
ENSG00000118596	O60669	Cytosol
ENSG00000118705	P04844	Endoplasmic reticulum
ENSG00000118777	Q9UNQ0	
ENSG00000119013	O43676	
ENSG00000119048	P63146	Nucleus
ENSG00000119125	Q9Y2T3	
ENSG00000119227	Q86VD9	
ENSG00000119392	Q53GS7	Cytosol;Nucleus
ENSG00000119401	Q13049	Cytosol;Nucleus
ENSG00000119421	P51970	
ENSG00000119514	Q8IXK2	Golgi apparatus
ENSG00000119523	Q9H553	
ENSG00000119537	Q06136	Endoplasmic reticulum
ENSG00000119640	P07311	
ENSG00000119673	P49753	
ENSG00000119689	P36957	Nucleus
ENSG00000119711	Q02252	
ENSG00000119723	Q9Y2Z9	Golgi apparatus
ENSG00000119772	Q9Y6K1	Cytosol;Nucleus
ENSG00000119782	P68106	Cytosol
ENSG00000119899	Q9NRA2	Cytosol;Lysosome
ENSG00000119915	Q9HB03	Endoplasmic reticulum
ENSG00000119927	Q9HCL2	
ENSG00000119938	Q9UQK1	
ENSG00000120053	P17174	Cytosol
ENSG00000120137	Q9H999	Cytosol
ENSG00000120158	Q9Y2P8	
ENSG00000120253	Q8NFH3	Nucleus
ENSG00000120254	Q6UB35	
ENSG00000120265	P22061	Cytosol
ENSG00000120329	Q9BXI2	
ENSG00000120437	Q9BWD1	Cytosol
ENSG00000120563	Q6UWQ5	
ENSG00000120697	Q9Y673	
ENSG00000120820	Q9H1C3	
ENSG00000120915	P34913	Peroxisome;Cytosol
ENSG00000120942	Q9Y5Z9	Cytosol;Endoplasmic reticulum;Golgi apparatus;Nucleus
ENSG00000120992	O75608	Cytosol;Endoplasmic reticulum;Nucleus
ENSG00000121039	Q8IZV5	Endoplasmic reticulum
ENSG00000121053	P11678	Cytosol
ENSG00000121207	O95237	Cytosol;Endoplasmic reticulum
ENSG00000121270	Q96J66	Cytosol
ENSG00000121281	P51828	
ENSG00000121310	Q86YB7	
ENSG00000121361	Q15842	
ENSG00000121481	Q99496	Cytosol;Nucleus
ENSG00000121486	Q7Z2T5	
ENSG00000121578	O60513	Golgi apparatus
ENSG00000121579	Q9GZZ1	Cytosol;Nucleus
ENSG00000121691	P04040	Peroxisome
ENSG00000121769	P05413	Cytosol
ENSG00000121851	Q9BT43	Nucleus
ENSG00000121879	P42336	
ENSG00000121897	O43766	
ENSG00000121900	Q969K7	
ENSG00000122008	Q9UBT6	Nucleus
ENSG00000122126	Q01968	Cytosol;Lysosome;Golgi apparatus
ENSG00000122194	P00747	
ENSG00000122218	P53621	Cytosol;Golgi apparatus
ENSG00000122254	Q9Y278	Golgi apparatus
ENSG00000122257	Q7Z6E9	Cytosol;Nucleus
ENSG00000122390	Q9H7X0	Cytosol;Golgi apparatus
ENSG00000122435	Q9NUP7	
ENSG00000122642	O95302	Endoplasmic reticulum
ENSG00000122643	Q9H0P0	Cytosol;Endoplasmic reticulum
ENSG00000122678	Q9NP87	Nucleus
ENSG00000122687	Q9UI43	
ENSG00000122729	P21399	Cytosol
ENSG00000122787	P51857	Cytosol
ENSG00000122824	Q8NFP7	Cytosol
ENSG00000122863	Q7LGC8	Golgi apparatus
ENSG00000122884	P13674	Endoplasmic reticulum
ENSG00000122912	P16260	
ENSG00000122971	P16219	
ENSG00000123124	Q9H0M0	Cytosol;Nucleus
ENSG00000123130	Q9Y305	
ENSG00000123213	Q9BYT8	Cytosol
ENSG00000123360	Q01064	Cytosol
ENSG00000123427	Q96AZ1	Cytosol
ENSG00000123453	Q9UL12	
ENSG00000123454	P09172	Cytosol
ENSG00000123505	P17707	
ENSG00000123552	Q70EL2	Cytosol;Nucleus
ENSG00000123600	Q9H825	Cytosol
ENSG00000123643	Q7Z2H8	Lysosome
ENSG00000123684	Q92604	Endoplasmic reticulum
ENSG00000123689	P27469	
ENSG00000123739	Q9BZM1	Cytosol
ENSG00000123836	O60825	
ENSG00000123983	O95573	Peroxisome;Endoplasmic reticulum
ENSG00000123989	Q8IZ52	Cytosol;Golgi apparatus
ENSG00000124003	Q96PD6	
ENSG00000124006	O75147	Cytosol;Golgi apparatus
ENSG00000124067	Q9UP95	
ENSG00000124091	Q6ZNI0	
ENSG00000124140	Q9H2X9	
ENSG00000124151	Q9Y6Q9	Cytosol;Nucleus
ENSG00000124155	Q969N2	Endoplasmic reticulum
ENSG00000124164	O95292	Endoplasmic reticulum
ENSG00000124172	P56381	
ENSG00000124181	P19174	
ENSG00000124212	Q16647	Endoplasmic reticulum
ENSG00000124253	P35558	Cytosol;Endoplasmic reticulum
ENSG00000124275	Q9UBK8	Cytosol
ENSG00000124299	P12955	
ENSG00000124302	Q9H2A9	Golgi apparatus
ENSG00000124356	O95630	Cytosol;Nucleus
ENSG00000124357	Q9UJ70	
ENSG00000124370	Q96PE7	
ENSG00000124406	Q9Y2Q0	Cytosol;Endoplasmic reticulum;Golgi apparatus
ENSG00000124422	Q9UPT9	Nucleus
ENSG00000124486	Q93008	Cytosol
ENSG00000124491	P00488	Cytosol
ENSG00000124523	Q9NXA8	Cytosol;Nucleus
ENSG00000124564	O00476	Endoplasmic reticulum
ENSG00000124568	Q14916	
ENSG00000124588	P16083	Cytosol
ENSG00000124596	Q9Y530	Nucleus
ENSG00000124615	Q9NZB8	
ENSG00000124713	Q14749	Cytosol
ENSG00000124767	Q04760	
ENSG00000124789	P49790	Nucleus
ENSG00000125166	P00505	
ENSG00000125246	Q8N0X4	
ENSG00000125255	Q12908	
ENSG00000125257	O15439	
ENSG00000125356	O15239	
ENSG00000125430	Q9Y662	Golgi apparatus
ENSG00000125450	Q9BW27	Cytosol;Nucleus
ENSG00000125454	Q9HC21	
ENSG00000125458	Q8TCD5	Cytosol
ENSG00000125484	Q9UKN8	Nucleus
ENSG00000125505	Q96N66	Endoplasmic reticulum
ENSG00000125630	Q9H9Y6	Nucleus
ENSG00000125686	Q15648	Nucleus
ENSG00000125772	Q9NPB8	
ENSG00000125779	Q9BZ23	Cytosol;Nucleus
ENSG00000125780	Q08188	Cytosol
ENSG00000125877	Q9BY32	Cytosol
ENSG00000125954		
ENSG00000126088	P06132	Cytosol
ENSG00000126091	Q11203	Golgi apparatus
ENSG00000126107	Q5T447	Cytosol
ENSG00000126261	Q9UBT2	Cytosol;Nucleus
ENSG00000126264	Q9UBK5	
ENSG00000126267	P14854	
ENSG00000126368	P20393	Cytosol;Nucleus
ENSG00000126432	P30044	Peroxisome;Cytosol
ENSG00000126457	Q99873	Cytosol;Nucleus
ENSG00000126522	P04424	
ENSG00000126749	Q92979	Nucleus
ENSG00000126821	Q9BX95	Endoplasmic reticulum
ENSG00000126883	P35658	Cytosol;Nucleus
ENSG00000127080	Q9H8X2	Cytosol;Nucleus
ENSG00000127125	Q9HAB8	
ENSG00000127184	P15954	
ENSG00000127415	P35475	Lysosome
ENSG00000127445	Q13526	Cytosol;Nucleus
ENSG00000127472	P39877	Cytosol;Golgi apparatus
ENSG00000127481	Q5T4S7	Cytosol;Nucleus
ENSG00000127511	O75182	Nucleus
ENSG00000127540	O14957	
ENSG00000127804	Q86W50	Cytosol;Nucleus
ENSG00000127884	P30084	
ENSG00000127948	P16435	Cytosol;Endoplasmic reticulum
ENSG00000128039	Q9H8P0	Endoplasmic reticulum
ENSG00000128050	P22234	
ENSG00000128059	Q06203	
ENSG00000128242	Q99999	Golgi apparatus
ENSG00000128268	Q09327	Golgi apparatus
ENSG00000128274	Q9NPC4	Golgi apparatus
ENSG00000128294	O60704	Golgi apparatus
ENSG00000128309	P25325	Cytosol
ENSG00000128311	Q16762	
ENSG00000128524	Q16864	Cytosol
ENSG00000128609	Q16718	
ENSG00000128655	Q9HCR9	Cytosol
ENSG00000128683	Q99259	
ENSG00000128708	O14929	Cytosol;Nucleus
ENSG00000128731	O95714	Cytosol;Nucleus
ENSG00000128918	O94788	Cytosol
ENSG00000128928	P26440	
ENSG00000128951	P33316	Nucleus
ENSG00000129083	P53618	Cytosol;Endoplasmic reticulum;Golgi apparatus
ENSG00000129128	P61009	Endoplasmic reticulum
ENSG00000129151	O75936	Cytosol
ENSG00000129167	P17752	
ENSG00000129187	P32321	
ENSG00000129204	P35125	Cytosol
ENSG00000129219	O14939	
ENSG00000129244	P14415	
ENSG00000129353	Q8IWA5	
ENSG00000129467	Q8NFM4	Cytosol
ENSG00000129484	Q9UGN5	Nucleus
ENSG00000129562	P61803	Endoplasmic reticulum
ENSG00000129596	Q16878	
ENSG00000129673	Q16613	Cytosol
ENSG00000129744	P52961	
ENSG00000129873	Q9Y6F7	
ENSG00000129951	Q6T4P5	
ENSG00000130005	Q14353	
ENSG00000130035	Q9NY28	
ENSG00000130052	Q92502	
ENSG00000130055	Q9HCC8	
ENSG00000130066	P21673	Cytosol
ENSG00000130164	P01130	Lysosome;Golgi apparatus
ENSG00000130203	P02649	
ENSG00000130208	P02654	
ENSG00000130227	Q9UIA9	Cytosol;Nucleus
ENSG00000130234	Q9BYF1	Cytosol
ENSG00000130304	Q6PCB7	Cytosol
ENSG00000130305	Q96P11	Nucleus
ENSG00000130309	Q8NBJ5	Endoplasmic reticulum
ENSG00000130313	O95336	
ENSG00000130377	Q5FVE4	Cytosol
ENSG00000130383	Q11128	Golgi apparatus
ENSG00000130414	O95299	
ENSG00000130508	Q92626	Endoplasmic reticulum
ENSG00000130540	Q9BR01	Cytosol
ENSG00000130589	Q9BYK8	Nucleus
ENSG00000130649	P05181	Endoplasmic reticulum
ENSG00000130653	Q6ZV29	Endoplasmic reticulum
ENSG00000130707	P00966	Cytosol
ENSG00000130714	Q9Y6A1	Endoplasmic reticulum
ENSG00000130717	Q9HA47	
ENSG00000130725	P61081	
ENSG00000130816	P26358	Nucleus
ENSG00000130821	P48029	
ENSG00000130822	Q6P2M8	
ENSG00000130829	Q99956	Cytosol
ENSG00000130876	Q9NS82	
ENSG00000130939	O95155	Cytosol;Nucleus
ENSG00000130948	P37058	Endoplasmic reticulum
