genes	geneUniProtID	compartments
ENSG00000130957	O00757	Cytosol;Nucleus
ENSG00000130958	Q76EJ3	Golgi apparatus
ENSG00000130985	P22314	Cytosol;Nucleus
ENSG00000130988	Q15493	Cytosol
ENSG00000130997	Q7Z5Q5	Nucleus
ENSG00000131013	Q8WUA2	
ENSG00000131055	Q96KJ9	
ENSG00000131067	Q9UJ14	
ENSG00000131069	Q9NR19	Cytosol
ENSG00000131100	P36543	Cytosol
ENSG00000131143	P13073	
ENSG00000131174	P24311	
ENSG00000131183	Q06495	
ENSG00000131203	P14902	Cytosol
ENSG00000131238	P50897	Lysosome
ENSG00000131373	Q9UJ83	Peroxisome
ENSG00000131386	Q8N3T1	Golgi apparatus
ENSG00000131389	P31641	
ENSG00000131400	O96009	
ENSG00000131446	P26572	Cytosol;Golgi apparatus
ENSG00000131459	O94808	
ENSG00000131471	Q16853	
ENSG00000131473	P53396	Cytosol
ENSG00000131480	O75106	Cytosol
ENSG00000131482	P35575	Endoplasmic reticulum
ENSG00000131495	O43678	
ENSG00000131508	P62837	
ENSG00000131653	Q6Q0C0	Cytosol
ENSG00000131686	P23280	
ENSG00000131730	P17540	
ENSG00000131748	Q14849	Endoplasmic reticulum
ENSG00000131781	P49326	Endoplasmic reticulum
ENSG00000131828	P08559	
ENSG00000131844	Q9HCC0	
ENSG00000131864	Q9HBJ7	
ENSG00000131873	Q86X52	Golgi apparatus
ENSG00000131979	P30793	Cytosol;Nucleus
ENSG00000132164	P48066	
ENSG00000132182	Q8TEM1	Endoplasmic reticulum;Nucleus
ENSG00000132196	P56937	Endoplasmic reticulum
ENSG00000132256	Q9C035	Cytosol;Nucleus
ENSG00000132275	O43159	Nucleus
ENSG00000132330	Q96I15	Cytosol
ENSG00000132376	Q9BT40	Cytosol;Endoplasmic reticulum;Nucleus
ENSG00000132382	Q9BQG0	Cytosol;Nucleus
ENSG00000132388	P62253	
ENSG00000132423	Q9NZJ6	
ENSG00000132437	P20711	
ENSG00000132517	Q9NWF4	
ENSG00000132518	Q02846	Endoplasmic reticulum
ENSG00000132570	Q9H0N5	
ENSG00000132600	Q9NVM4	Cytosol;Nucleus
ENSG00000132664	Q9H1D9	Nucleus
ENSG00000132677	Q9H310	Cytosol
ENSG00000132681	Q13733	
ENSG00000132744	Q96HD9	Cytosol
ENSG00000132746	P48448	
ENSG00000132793	Q9BQK8	Nucleus
ENSG00000132837	Q9UI17	
ENSG00000132840	Q9H2M3	
ENSG00000132874	Q15849	
ENSG00000132915	P16499	Cytosol
ENSG00000132958	Q6XPS3	Cytosol;Endoplasmic reticulum;Golgi apparatus
ENSG00000133027	Q9UBM1	Cytosol;Endoplasmic reticulum
ENSG00000133048	P36222	Cytosol;Endoplasmic reticulum
ENSG00000133056	O00750	Cytosol;Endoplasmic reticulum;Nucleus
ENSG00000133063	Q13231	Lysosome
ENSG00000133065	Q8IVJ1	
ENSG00000133116	Q9UEF7	
ENSG00000133121	Q9Y3M8	Cytosol
ENSG00000133135	Q8TEB7	Cytosol;Endoplasmic reticulum
ENSG00000133247	Q86Y97	Nucleus
ENSG00000133256	P35913	
ENSG00000133275	P78368	Cytosol
ENSG00000133313	Q96KP4	Cytosol
ENSG00000133315	Q9BQ69	Nucleus
ENSG00000133328	Q9NWW9	Cytosol
ENSG00000133433	P0CG30	Cytosol
ENSG00000133460	Q9BYW1	
ENSG00000133475	P36268	Cytosol;Endoplasmic reticulum
ENSG00000133606	Q9UHC7	
ENSG00000133706	Q9P2J5	Cytosol
ENSG00000133731	P29218	Cytosol
ENSG00000133742	P00915	Cytosol
ENSG00000133805	Q01432	
ENSG00000133835	P51659	Peroxisome
ENSG00000134013	Q9Y4K0	Endoplasmic reticulum;Nucleus
ENSG00000134014	Q9H9T3	Cytosol;Nucleus
ENSG00000134184	P09488	Cytosol
ENSG00000134201	P46439	Cytosol
ENSG00000134202	P21266	Cytosol
ENSG00000134216	Q9BZP6	Cytosol
ENSG00000134240	P54868	
ENSG00000134255	Q9Y6K0	Endoplasmic reticulum;Nucleus
ENSG00000134285	Q9NYL4	
ENSG00000134294	Q96QD8	
ENSG00000134317	Q9NZI5	Nucleus
ENSG00000134324	Q14693	Cytosol;Endoplasmic reticulum;Nucleus
ENSG00000134326	Q5EBM0	
ENSG00000134333	P00338	Cytosol
ENSG00000134440	O43776	Cytosol
ENSG00000134538	Q9Y6L6	
ENSG00000134575	P11117	Lysosome
ENSG00000134588	Q9BXU7	Nucleus
ENSG00000134684	P54577	Cytosol;Nucleus
ENSG00000134716	P51589	Endoplasmic reticulum
ENSG00000134744	Q5TAX3	Cytosol;Nucleus
ENSG00000134758	Q8WVD3	
ENSG00000134780	Q9Y4D2	
ENSG00000134812	P27352	
ENSG00000134824	O95864	Endoplasmic reticulum
ENSG00000134852	O15516	Cytosol;Nucleus
ENSG00000134864	Q9BVM4	
ENSG00000134882	Q8NBM4	Endoplasmic reticulum
ENSG00000134910	P46977	Endoplasmic reticulum
ENSG00000135002	Q969G6	Cytosol
ENSG00000135047	P07711	Cytosol;Lysosome;Endoplasmic reticulum;Nucleus
ENSG00000135069	Q9Y617	
ENSG00000135093	Q70CQ3	
ENSG00000135094	P20132	Cytosol
ENSG00000135218	P16671	Golgi apparatus
ENSG00000135220	Q6UWM9	
ENSG00000135226	Q9BY64	Cytosol;Endoplasmic reticulum
ENSG00000135241	Q9NP80	Peroxisome;Endoplasmic reticulum
ENSG00000135318	P21589	
ENSG00000135372	Q9H0A0	Nucleus
ENSG00000135390	Q06055	
ENSG00000135423	Q9UI32	
ENSG00000135437	Q92781	Endoplasmic reticulum
ENSG00000135454	Q00973	Golgi apparatus
ENSG00000135473	Q504Q3	Cytosol;Nucleus
ENSG00000135587	O60906	
ENSG00000135655	Q9Y4E8	Cytosol;Nucleus
ENSG00000135677	P15586	Lysosome
ENSG00000135679	Q00987	Cytosol;Nucleus
ENSG00000135697	Q9HAY6	Cytosol
ENSG00000135702	Q9GZS9	
ENSG00000135740	Q14940	
ENSG00000135744	P01019	
ENSG00000135778	Q9BSD7	
ENSG00000135821	P15104	Cytosol
ENSG00000135838	Q9BXD5	Cytosol
ENSG00000135845	Q92535	Endoplasmic reticulum
ENSG00000135913	Q86T82	
ENSG00000135917	Q9BZV2	
ENSG00000135929	Q02318	
ENSG00000135940	P10606	
ENSG00000136010	Q3SY69	
ENSG00000136014	Q9H0E7	Nucleus
ENSG00000136052	Q96JW4	
ENSG00000136143	Q9P2R7	
ENSG00000136169	Q96T68	Nucleus
ENSG00000136213	Q9NRB3	
ENSG00000136243	O15504	Cytosol;Nucleus
ENSG00000136247	Q9NPG8	Endoplasmic reticulum;Golgi apparatus
ENSG00000136250	P28039	Cytosol
ENSG00000136267	Q9Y6T7	Cytosol
ENSG00000136371	P49914	Cytosol
ENSG00000136381	P48200	Cytosol
ENSG00000136448	P30419	Cytosol
ENSG00000136504	O95251	Cytosol;Nucleus
ENSG00000136521	O43674	
ENSG00000136536	Q9H992	
ENSG00000136542	Q7Z7M9	Golgi apparatus
ENSG00000136628	P07814	Cytosol
ENSG00000136699	Q9NXE4	Endoplasmic reticulum;Golgi apparatus;Nucleus
ENSG00000136715	Q9H0E3	Nucleus
ENSG00000136720	O60243	
ENSG00000136731	Q9NYU2	Endoplasmic reticulum
ENSG00000136750	Q05329	Cytosol;Golgi apparatus
ENSG00000136810	P10599	Cytosol;Nucleus
ENSG00000136840	Q9H4F1	
ENSG00000136856	Q9NY64	Cytosol
ENSG00000136868	O15431	
ENSG00000136872	P05062	Cytosol
ENSG00000136877	Q05932	Cytosol
ENSG00000136878	Q9Y2K6	Cytosol;Endoplasmic reticulum
ENSG00000136881	Q14032	Peroxisome;Cytosol
ENSG00000136888	O75348	
ENSG00000136908	O94777	Endoplasmic reticulum
ENSG00000136943	O60911	Lysosome
ENSG00000136960	Q13822	
ENSG00000137054	Q9GZS1	Nucleus
ENSG00000137106	Q9UBQ7	
ENSG00000137124	P30837	
ENSG00000137168	Q9Y3C6	Nucleus
ENSG00000137198	P36959	
ENSG00000137200	Q8N1G2	Nucleus
ENSG00000137204	Q9Y694	
ENSG00000137261	Q5VV43	
ENSG00000137364	P51580	Cytosol
ENSG00000137392	P04118	
ENSG00000137393	Q7Z419	Cytosol
ENSG00000137491	O94956	
ENSG00000137496	O95998	
ENSG00000137563	Q92820	Lysosome
ENSG00000137574	Q96RS0	Cytosol;Nucleus
ENSG00000137700		
ENSG00000137731	P54710	
ENSG00000137760	Q96BT7	Cytosol;Nucleus
ENSG00000137770	Q05D32	
ENSG00000137817	Q2NL67	
ENSG00000137825	P23677	Cytosol
ENSG00000137841	Q00722	
ENSG00000137857	Q9NRD9	
ENSG00000137860	O43868	
ENSG00000137868	Q9BX79	
ENSG00000137869	P11511	Endoplasmic reticulum
ENSG00000137944	Q6YP21	
ENSG00000137968	Q8NCS7	
ENSG00000137992	P11182	
ENSG00000137996	O00442	Nucleus
ENSG00000138018	Q9C0D9	Endoplasmic reticulum
ENSG00000138029	P55084	Endoplasmic reticulum
ENSG00000138030	P50053	
ENSG00000138031	O60266	Cytosol;Golgi apparatus
ENSG00000138061	Q16678	Endoplasmic reticulum
ENSG00000138074	Q9Y289	
ENSG00000138075	Q9H222	
ENSG00000138079	Q07837	
ENSG00000138109	P11712	Endoplasmic reticulum
ENSG00000138115	P10632	Endoplasmic reticulum
ENSG00000138134	Q96FJ0	
ENSG00000138135	O95992	Endoplasmic reticulum
ENSG00000138185	P49961	
ENSG00000138193	Q9P212	Cytosol;Golgi apparatus
ENSG00000138207	P02753	
ENSG00000138308	Q9BX93	
ENSG00000138356	Q06278	Cytosol
ENSG00000138363	P31939	
ENSG00000138376	Q99728	Cytosol;Nucleus
ENSG00000138382	Q9NRN9	Nucleus
ENSG00000138398	Q13427	Nucleus
ENSG00000138400	Q5I0G3	
ENSG00000138411	Q9P2P5	Cytosol
ENSG00000138413	O75874	Peroxisome;Cytosol
ENSG00000138449	Q9NP59	
ENSG00000138496	Q8IXQ6	Cytosol;Nucleus
ENSG00000138592	P40818	Cytosol;Nucleus
ENSG00000138604	O94923	Golgi apparatus
ENSG00000138617	Q8N5Y8	Endoplasmic reticulum
ENSG00000138621	Q96CD2	
ENSG00000138641	Q15034	
ENSG00000138653	Q9H3R1	
ENSG00000138678	Q53EU6	Endoplasmic reticulum
ENSG00000138735	O76074	
ENSG00000138744	Q02083	Lysosome
ENSG00000138750	Q7Z3B4	Cytosol;Nucleus
ENSG00000138772	P12429	
ENSG00000138777	Q9H2U2	
ENSG00000138796	Q16836	
ENSG00000138801	O43252	
ENSG00000138821	Q9C0K1	Lysosome
ENSG00000138823	P55157	Endoplasmic reticulum;Golgi apparatus
ENSG00000138942	Q96GF1	Endoplasmic reticulum
ENSG00000139044	Q6L9W6	Golgi apparatus
ENSG00000139053	Q13956	
ENSG00000139133	Q5BKT4	Endoplasmic reticulum
ENSG00000139144	O75747	
ENSG00000139151	Q86YW0	Cytosol;Nucleus
ENSG00000139155	Q9NYB5	
ENSG00000139160	Q8IXQ9	Cytosol
ENSG00000139163	Q9HBU6	Cytosol
ENSG00000139180	Q16795	
ENSG00000139209	Q969I6	
ENSG00000139266	Q86YJ5	Lysosome;Golgi apparatus
ENSG00000139278	P48060	
ENSG00000139287	Q8IWU9	
ENSG00000139304		
ENSG00000139344	Q96NU7	
ENSG00000139370	Q8N697	Lysosome
ENSG00000139410	Q96GA7	
ENSG00000139428	Q96EY8	
ENSG00000139433	Q9NZD2	Cytosol
ENSG00000139496	Q9BVL2	Cytosol;Nucleus
ENSG00000139505	Q9Y217	Cytosol;Endoplasmic reticulum
ENSG00000139514	P30825	
ENSG00000139531	P51687	
ENSG00000139540	Q6ZMH5	
ENSG00000139547	O75452	Endoplasmic reticulum
ENSG00000139624	Q8N5B7	Endoplasmic reticulum
ENSG00000139629	Q8NCL4	Golgi apparatus
ENSG00000139631	Q9Y600	
ENSG00000139684	P10768	Cytosol
ENSG00000139718	Q9UPS6	Nucleus
ENSG00000139780	Q5VZV1	Nucleus
ENSG00000139914	A5D6W6	
ENSG00000139977	Q147X3	Cytosol;Nucleus
ENSG00000139988	Q96NR8	Endoplasmic reticulum
ENSG00000140057	Q96M32	Cytosol
ENSG00000140090	Q8NFF2	Cytosol
ENSG00000140105	P23381	Cytosol
ENSG00000140199	Q9UHW9	
ENSG00000140263	Q00796	
ENSG00000140279	Q9NRD8	
ENSG00000140284	O14975	Peroxisome;Endoplasmic reticulum
ENSG00000140287	P19113	
ENSG00000140297	O95395	
ENSG00000140367	Q8WVN8	Cytosol
ENSG00000140374	P13804	
ENSG00000140396	Q15596	Nucleus
ENSG00000140400	Q9NTJ4	Cytosol
ENSG00000140455	Q9Y6I4	Nucleus
ENSG00000140459	P05108	
ENSG00000140465	P04798	Cytosol;Endoplasmic reticulum
ENSG00000140505	P05177	Endoplasmic reticulum
ENSG00000140519	Q9UBD6	
ENSG00000140521	P54098	
ENSG00000140522	P12271	Cytosol
ENSG00000140534	Q7Z2Z1	Nucleus
ENSG00000140598	Q7Z2Z2	
ENSG00000140612	P67812	Endoplasmic reticulum
ENSG00000140650	O15305	Cytosol
ENSG00000140675	P31639	
ENSG00000140740	P22695	
ENSG00000140795	Q32MK0	Cytosol
ENSG00000140835	Q8NCG5	Golgi apparatus
ENSG00000140905	P23434	
ENSG00000140990	O96000	
ENSG00000141012	P34059	Lysosome
ENSG00000141027	O75376	Nucleus
ENSG00000141096	Q9H4B8	
ENSG00000141179	Q9UKL6	Cytosol
ENSG00000141279	P55786	Cytosol;Nucleus
ENSG00000141338	O94911	
ENSG00000141349	Q9BUM1	Endoplasmic reticulum
ENSG00000141378	Q9Y3E5	
ENSG00000141401	O14732	Cytosol
ENSG00000141424	Q13433	
ENSG00000141429	Q10472	Golgi apparatus
ENSG00000141446	Q5FWF5	Nucleus
ENSG00000141458	O15118	Lysosome
ENSG00000141469	Q13336	
ENSG00000141485	Q86YT5	
ENSG00000141504	Q96F10	Cytosol
ENSG00000141506	Q8WYR1	Cytosol;Nucleus
ENSG00000141526	O15427	Cytosol
ENSG00000141552	Q9NYG5	Cytosol;Nucleus
ENSG00000141560	Q9HA64	
ENSG00000141698	Q969T7	Cytosol
ENSG00000141744	P11086	
ENSG00000141756	Q96AY3	Endoplasmic reticulum
ENSG00000141873	Q9BRY0	
ENSG00000141934	O43688	Endoplasmic reticulum
ENSG00000141959	P17858	Cytosol
ENSG00000142046	Q6ZNR0	
ENSG00000142082	Q9NTG7	
ENSG00000142102	Q32M88	
ENSG00000142168	P00441	Cytosol;Nucleus
ENSG00000142182	Q9UJW3	Nucleus
ENSG00000142185	O94759	Cytosol;Lysosome
ENSG00000142230	Q9UBE0	Nucleus
ENSG00000142273	Q9ULV8	
ENSG00000142319	Q01959	
ENSG00000142453	Q86X55	Cytosol;Nucleus
ENSG00000142494	Q96FL8	
ENSG00000142513	Q9BZG2	
ENSG00000142583	P22732	
ENSG00000142619	Q9ULW8	Cytosol
ENSG00000142623	Q9ULC6	Cytosol
ENSG00000142657	P52209	Cytosol
ENSG00000142798	P98160	
ENSG00000142875	P22694	Cytosol;Nucleus
ENSG00000142892	Q92643	Endoplasmic reticulum
ENSG00000142920	Q96A70	Cytosol;Endoplasmic reticulum;Golgi apparatus;Nucleus
ENSG00000142973	P13584	Endoplasmic reticulum
ENSG00000143036	Q8N4M1	
ENSG00000143149	P49189	Cytosol
ENSG00000143153	P05026	
ENSG00000143156	Q9Y5B8	Cytosol
ENSG00000143158	O95563	
ENSG00000143179	Q9BZX2	
ENSG00000143198	O14880	Endoplasmic reticulum
ENSG00000143199	Q96PN6	Cytosol;Nucleus
ENSG00000143207	Q8NHY2	Cytosol;Nucleus
ENSG00000143224	P50336	
ENSG00000143252	Q99643	
ENSG00000143258	Q9UK80	Cytosol;Nucleus
ENSG00000143278	P05160	
ENSG00000143315	Q9H3S5	
ENSG00000143344	Q9NZL6	
ENSG00000143363	Q86TP1	Cytosol;Nucleus
ENSG00000143379	Q15047	Cytosol;Nucleus
ENSG00000143387	P43235	Lysosome
ENSG00000143393	Q9UBF8	Cytosol;Endoplasmic reticulum;Golgi apparatus
ENSG00000143398	Q99755	Cytosol;Nucleus
ENSG00000143418	Q96G23	Endoplasmic reticulum
ENSG00000143499	Q9NRG4	Cytosol;Nucleus
ENSG00000143515	P98198	Endoplasmic reticulum
ENSG00000143552	Q5VU65	
ENSG00000143554	Q5K4L6	
ENSG00000143570	Q9NY26	Endoplasmic reticulum
ENSG00000143595	Q96PS8	
ENSG00000143627	P30613	
ENSG00000143630	Q9P1Z3	
ENSG00000143641	Q10471	Golgi apparatus
ENSG00000143653	Q8NBX0	
ENSG00000143727	P24666	Cytosol
ENSG00000143753	O15121	Endoplasmic reticulum
ENSG00000143772	P27987	Cytosol;Endoplasmic reticulum
ENSG00000143774	Q16774	Cytosol
ENSG00000143797	Q6ZWT7	Endoplasmic reticulum
ENSG00000143799	P09874	Cytosol;Nucleus
ENSG00000143811	Q96C36	Cytosol
ENSG00000143815	Q14739	Cytosol;Endoplasmic reticulum;Nucleus
ENSG00000143819	P07099	Endoplasmic reticulum
ENSG00000143845	Q9NVF9	
ENSG00000143870	Q15084	Endoplasmic reticulum
ENSG00000143882	Q8NEY4	
ENSG00000143891	Q96C23	Cytosol
ENSG00000143921	Q9H221	
ENSG00000143933	P0DP24	Cytosol
ENSG00000144035	Q9UHE5	Endoplasmic reticulum
ENSG00000144048	O75319	Nucleus
ENSG00000144057	Q96JF0	Golgi apparatus
ENSG00000144136	Q8WUM9	
ENSG00000144182	Q9Y234	
ENSG00000144231	O15514	Nucleus
ENSG00000144278	Q8IUC8	Golgi apparatus
ENSG00000144290	Q6U841	
ENSG00000144357	Q6ZT12	
ENSG00000144362	Q8TCD6	
ENSG00000144401	Q8WXB1	Cytosol
ENSG00000144583	Q9P2E8	
ENSG00000144591	Q96IJ6	Cytosol
ENSG00000144659	Q96DW6	
ENSG00000144741	Q70HW3	
ENSG00000144744	Q8TBC4	
ENSG00000144843	P54922	
ENSG00000144908	O75891	Cytosol
ENSG00000145020	P48728	
ENSG00000145194	P0DPD6	Cytosol;Golgi apparatus
ENSG00000145214	P52824	Cytosol;Nucleus
ENSG00000145217	Q9H2B4	
ENSG00000145283	Q3KNW5	
ENSG00000145284	Q86SK9	Endoplasmic reticulum
ENSG00000145293	Q9UHY7	Cytosol;Nucleus
ENSG00000145321	P02774	
ENSG00000145331	Q8TBZ6	Nucleus
ENSG00000145337	Q96I23	
ENSG00000145384	P12104	Cytosol
ENSG00000145388	Q9HCE5	Nucleus
ENSG00000145391	Q8WTS6	Nucleus
ENSG00000145416	Q8TCQ1	Cytosol;Lysosome;Golgi apparatus
ENSG00000145439	Q8N4T8	
ENSG00000145476	Q6ZWL3	Endoplasmic reticulum
ENSG00000145494	O75380	
ENSG00000145495	O60337	Endoplasmic reticulum
ENSG00000145545	P18405	Endoplasmic reticulum
ENSG00000145626	Q6NUS8	
ENSG00000145675	P27986	
ENSG00000145692	Q93088	Cytosol;Nucleus
ENSG00000145725	O43314	Cytosol
ENSG00000145730	P19021	Cytosol
ENSG00000145949	Q86YV6	
ENSG00000146039	Q9Y2C5	
ENSG00000146066	Q9BW72	
ENSG00000146070	Q13093	
ENSG00000146072	O75509	
ENSG00000146085	P22033	Cytosol
ENSG00000146151	Q8TB92	Cytosol;Endoplasmic reticulum
ENSG00000146166	Q5TDP6	
ENSG00000146233	Q9NYL5	Endoplasmic reticulum
ENSG00000146373	Q8TC41	Cytosol
ENSG00000146411	Q8TD20	
ENSG00000146414	Q149N8	
ENSG00000146426	Q8IVF5	
ENSG00000146477	O75751	
ENSG00000146587	Q9NYW8	Nucleus
ENSG00000146648	P00533	Endoplasmic reticulum;Golgi apparatus;Nucleus
ENSG00000146701	P40926	
ENSG00000146733	P78330	Cytosol
ENSG00000146834	Q7L2J0	Nucleus
ENSG00000147003	Q9HBJ8	
ENSG00000147100	P36021	
ENSG00000147119	Q9NS84	Golgi apparatus
ENSG00000147123	Q9NX14	
ENSG00000147155	Q15125	Cytosol;Endoplasmic reticulum;Nucleus
ENSG00000147160	Q6E213	Endoplasmic reticulum
ENSG00000147162	O15294	Cytosol;Nucleus
ENSG00000147224	P60891	
ENSG00000147383	Q15738	Endoplasmic reticulum
ENSG00000147408	Q8TDX6	Golgi apparatus
ENSG00000147416	P21281	Cytosol
ENSG00000147454	Q9NYZ2	
ENSG00000147465	P49675	
ENSG00000147471	O94903	
ENSG00000147485	A1KZ92	Cytosol;Endoplasmic reticulum
ENSG00000147535	Q8NEB5	
ENSG00000147548	Q9BZ95	Nucleus
ENSG00000147576	Q8IWW8	
ENSG00000147606	Q8TE54	
ENSG00000147614	Q8N8Y2	
ENSG00000147647	Q14117	
ENSG00000147669	P53803	Nucleus
ENSG00000147684	Q9Y6M9	
ENSG00000147804	Q6P5W5	
ENSG00000147813	Q6XQN6	Cytosol
ENSG00000147853	Q9UIJ7	
ENSG00000147854	Q96PU4	Nucleus
ENSG00000147872	Q99541	
ENSG00000148090	Q13825	
ENSG00000148154	Q16739	Golgi apparatus
ENSG00000148218	P13716	
ENSG00000148229	Q9NRF9	Nucleus
ENSG00000148288	Q8N5D6	Golgi apparatus
ENSG00000148334	Q9H7Z7	Cytosol;Golgi apparatus
ENSG00000148344	O14684	Cytosol
ENSG00000148356	Q6UWE0	Cytosol
ENSG00000148377	Q9BXS1	Peroxisome
ENSG00000148384	Q9NRR6	Cytosol;Golgi apparatus;Nucleus
ENSG00000148459	Q5T2R2	
ENSG00000148606	O14802	Nucleus
ENSG00000148634	Q5GLZ8	Cytosol
ENSG00000148672	P00367	Endoplasmic reticulum
ENSG00000148677	Q15327	Nucleus
ENSG00000148795	P05093	Endoplasmic reticulum
ENSG00000148832	Q6QHF9	Peroxisome;Cytosol
ENSG00000148834	P78417	Cytosol
ENSG00000148942	Q1EHB4	
ENSG00000149016	Q9H6E5	Nucleus
ENSG00000149084	Q53GQ0	Endoplasmic reticulum
ENSG00000149089	Q96GX9	Cytosol
ENSG00000149091	Q13574	Cytosol;Nucleus
ENSG00000149124	Q6IB77	
ENSG00000149150	O75387	
ENSG00000149313	Q9NRN7	Cytosol
ENSG00000149380	Q7Z4N8	Endoplasmic reticulum
ENSG00000149435	Q9BX51	
ENSG00000149452	Q8TCC7	
ENSG00000149476	Q3LXA3	
ENSG00000149485	O60427	Endoplasmic reticulum
ENSG00000149527	O75038	Cytosol
ENSG00000149541	O94766	Golgi apparatus
ENSG00000149742	Q8IVM8	
ENSG00000149782	Q01970	Cytosol;Nucleus
ENSG00000149809	O76062	Endoplasmic reticulum
ENSG00000149925	P04075	Cytosol
ENSG00000149929	Q9BW71	Nucleus
ENSG00000150456	Q8WVE0	
ENSG00000150540	P50135	Cytosol
ENSG00000150656	Q96KN2	
ENSG00000150712	Q9C0I1	Cytosol
ENSG00000150768	P10515	
ENSG00000150787	Q03393	
ENSG00000150867	P48426	Cytosol;Lysosome;Nucleus
ENSG00000151005	Q9H0I9	
ENSG00000151012	Q9UPY5	
ENSG00000151092	Q96IV0	Cytosol
ENSG00000151093	Q9NWU1	
ENSG00000151116	Q8IX04	
ENSG00000151148	Q7Z3V4	
ENSG00000151151	Q8NFU5	Nucleus
ENSG00000151224	Q00266	
ENSG00000151229	Q96QE2	
ENSG00000151348	Q93063	Endoplasmic reticulum;Golgi apparatus
ENSG00000151360	Q8N6M5	
ENSG00000151366	O95298	
ENSG00000151376	Q16798	
ENSG00000151418	Q96LB4	
ENSG00000151498	Q9UKU7	
ENSG00000151552	P09417	
ENSG00000151576	Q9H974	Cytosol
ENSG00000151611	Q8IVH4	Cytosol
ENSG00000151632	P52895	Cytosol
ENSG00000151665	Q07326	Endoplasmic reticulum
ENSG00000151689	P49441	
ENSG00000151692	P50876	Cytosol
ENSG00000151726	P33121	Peroxisome;Endoplasmic reticulum
ENSG00000151729	P12235	
ENSG00000151790	P48775	
ENSG00000151883	Q8N3A8	
ENSG00000152127	Q09328	Golgi apparatus
ENSG00000152234	P25705	
ENSG00000152254	Q9NQR9	Endoplasmic reticulum
ENSG00000152256	Q15118	
ENSG00000152270	Q13370	
ENSG00000152402	P33402	Cytosol
ENSG00000152455	Q9H5I1	Nucleus
ENSG00000152463	Q9NV23	Cytosol
ENSG00000152465	O60551	Cytosol
ENSG00000152484	O75317	
ENSG00000152556	P08237	Cytosol
ENSG00000152620	Q4G0N4	
ENSG00000152642	Q8N335	Cytosol
ENSG00000152683	Q6NXT4	Golgi apparatus
ENSG00000152779	Q6ZSM3	
ENSG00000152782	Q8TE04	Cytosol;Nucleus
ENSG00000152904	O95749	Cytosol
ENSG00000152952	O00469	Endoplasmic reticulum
ENSG00000153015	Q6UX04	Nucleus
ENSG00000153086	Q8TDX5	
ENSG00000153201	P49792	Cytosol;Nucleus
ENSG00000153207	Q8WYP5	Cytosol;Nucleus
ENSG00000153291	O95847	
ENSG00000153395	Q8NF37	Cytosol;Endoplasmic reticulum;Golgi apparatus
ENSG00000153574	P49247	
ENSG00000153786	Q9NXF8	Golgi apparatus
ENSG00000153827	Q14669	Nucleus
ENSG00000153904	O94760	
ENSG00000153933	P52429	Cytosol
ENSG00000153936	Q7LGA3	Golgi apparatus
ENSG00000153976	Q9Y663	Golgi apparatus
ENSG00000154025	A0PJK1	
ENSG00000154027	Q9Y6K8	Cytosol
ENSG00000154080	Q7L1S5	
ENSG00000154227	Q8IU89	Endoplasmic reticulum
ENSG00000154252	Q9H3Q3	Golgi apparatus
ENSG00000154269	O14638	
ENSG00000154305	Q5JRA6	Endoplasmic reticulum
ENSG00000154330	Q15124	Cytosol
ENSG00000154370	Q96F44	Cytosol;Nucleus
ENSG00000154447	Q7Z6J0	Cytosol;Golgi apparatus
ENSG00000154518	P48201	
ENSG00000154678	Q14123	Lysosome
ENSG00000154723	P18859	
ENSG00000154822	Q9UPR0	Cytosol
ENSG00000154914	Q70EL4	
ENSG00000154930	Q9NUB1	
