genes	geneUniProtID	compartments
ENSG00000155016	Q7Z449	Endoplasmic reticulum
ENSG00000155085	Q5TCS8	Cytosol;Nucleus
ENSG00000155097	P21283	Cytosol
ENSG00000155099	Q8N4L2	Cytosol;Lysosome
ENSG00000155189	Q9NUQ2	Endoplasmic reticulum;Nucleus
ENSG00000155252	Q9BTU6	Cytosol;Golgi apparatus
ENSG00000155287	Q96A46	
ENSG00000155313	Q9UHP3	Cytosol;Nucleus
ENSG00000155368	P07108	Endoplasmic reticulum;Golgi apparatus
ENSG00000155380	P53985	
ENSG00000155465	Q9UM01	
ENSG00000155561	Q92621	Cytosol;Nucleus
ENSG00000155660	P13667	Endoplasmic reticulum
ENSG00000155827	Q5VTR2	Nucleus
ENSG00000155850	P50443	
ENSG00000155886	Q9UI40	
ENSG00000155893	Q8TE99	Golgi apparatus
ENSG00000155897	P40145	Cytosol
ENSG00000156006	P11245	Cytosol
ENSG00000156096	P06133	Endoplasmic reticulum
ENSG00000156110	P55263	Cytosol;Nucleus
ENSG00000156136	P27707	Nucleus
ENSG00000156219	Q13508	
ENSG00000156222	O00337	
ENSG00000156239	Q9Y5N5	Nucleus
ENSG00000156256	Q9Y5T5	Nucleus
ENSG00000156269	Q9BSU3	Cytosol;Nucleus
ENSG00000156411	P56378	
ENSG00000156413	P51993	Golgi apparatus
ENSG00000156463	Q8TEC5	Nucleus
ENSG00000156467	P14927	
ENSG00000156471	P48651	Endoplasmic reticulum
ENSG00000156508	P68104	Cytosol;Nucleus
ENSG00000156510	Q2TB90	Cytosol
ENSG00000156515	P19367	Cytosol
ENSG00000156587	O14933	
ENSG00000156599	Q9C0B5	
ENSG00000156650	Q8WYB5	Nucleus
ENSG00000156689	Q8WU03	Endoplasmic reticulum
ENSG00000156795	Q96HA8	Cytosol;Nucleus
ENSG00000156873	P15735	
ENSG00000156885	Q02221	
ENSG00000156958	Q01415	
ENSG00000156966	Q8NFL0	Golgi apparatus
ENSG00000156973	O43924	Cytosol
ENSG00000156983	P55201	Cytosol;Nucleus
ENSG00000157020	P55735	Cytosol;Lysosome;Endoplasmic reticulum;Nucleus
ENSG00000157045	Q96AB6	Cytosol
ENSG00000157064	Q9BZQ4	Cytosol;Golgi apparatus
ENSG00000157087	Q01814	
ENSG00000157103	P30531	
ENSG00000157184	P23786	
ENSG00000157326	Q9BTZ2	Peroxisome;Nucleus
ENSG00000157349	Q9UMR2	Cytosol;Nucleus
ENSG00000157350	Q16842	Golgi apparatus
ENSG00000157353	Q8N0W3	
ENSG00000157399	P51690	Golgi apparatus
ENSG00000157426	Q4L235	
ENSG00000157593	Q8TB61	Golgi apparatus
ENSG00000157680	O75912	Cytosol;Nucleus
ENSG00000157765	O95436	
ENSG00000157881	Q9NVE7	Cytosol
ENSG00000158006	Q99487	Cytosol;Endoplasmic reticulum
ENSG00000158008	Q92935	Endoplasmic reticulum
ENSG00000158019	Q9NXR7	Cytosol;Nucleus
ENSG00000158022	Q969Q1	Cytosol;Nucleus
ENSG00000158079	A2A3K4	
ENSG00000158089	Q96FL9	Golgi apparatus
ENSG00000158104	P32754	Cytosol;Endoplasmic reticulum;Golgi apparatus
ENSG00000158125	P47989	Peroxisome;Cytosol
ENSG00000158296	Q8WWT9	
ENSG00000158467	Q96HN2	Cytosol
ENSG00000158470	O43286	Golgi apparatus
ENSG00000158516	P48052	
ENSG00000158525	Q8WXQ8	
ENSG00000158571	P16118	
ENSG00000158578	P22557	
ENSG00000158623	Q9UBF2	Cytosol;Golgi apparatus
ENSG00000158669	Q86UL3	Endoplasmic reticulum
ENSG00000158786	Q9BZM2	
ENSG00000158825	P32320	
ENSG00000158850	O60512	Golgi apparatus
ENSG00000158864	O75306	
ENSG00000158865	Q8WWX8	
ENSG00000158874	P02652	
ENSG00000159063	Q9BVK2	Endoplasmic reticulum
ENSG00000159082	O43426	Cytosol
ENSG00000159131	P22102	
ENSG00000159199	P05496	
ENSG00000159202	Q9H832	Cytosol;Nucleus
ENSG00000159228	P16152	Cytosol
ENSG00000159231	O75828	Cytosol
ENSG00000159267	P50747	Cytosol
ENSG00000159322	Q9BRR6	
ENSG00000159337	Q86XP0	Cytosol;Endoplasmic reticulum
ENSG00000159339	Q9UM07	Cytosol;Nucleus
ENSG00000159348	Q9UHQ9	
ENSG00000159398	Q6NT32	
ENSG00000159399	P52789	Cytosol
ENSG00000159423	P30038	
ENSG00000159433	Q9P2P6	Cytosol;Nucleus
ENSG00000159459	Q8IWV7	Cytosol
ENSG00000159461	Q9UKV5	Endoplasmic reticulum
ENSG00000159495	Q96PF1	
ENSG00000159527	Q96LB9	
ENSG00000159593	Q13564	
ENSG00000159640	P12821	Cytosol
ENSG00000159650	Q96N76	
ENSG00000159692	Q13363	Cytosol;Nucleus
ENSG00000159714	Q8WTX9	Endoplasmic reticulum;Golgi apparatus
ENSG00000159720	P61421	Cytosol;Lysosome
ENSG00000159899	P20594	
ENSG00000159921	Q9Y223	Cytosol
ENSG00000160014	P0DP25	Cytosol
ENSG00000160087	Q8N2K1	Endoplasmic reticulum
ENSG00000160179	P45844	Endoplasmic reticulum;Golgi apparatus
ENSG00000160190	P57057	
ENSG00000160191	O76083	Cytosol;Endoplasmic reticulum;Golgi apparatus
ENSG00000160194	P56181	
ENSG00000160200	P35520	Cytosol;Nucleus
ENSG00000160209	O00764	Cytosol
ENSG00000160211	P11413	Cytosol
ENSG00000160216	Q9NRZ7	Endoplasmic reticulum;Nucleus
ENSG00000160226	O43822	Cytosol
ENSG00000160282	O95954	Cytosol;Golgi apparatus
ENSG00000160285	P48449	Endoplasmic reticulum
ENSG00000160310	P55345	Cytosol;Nucleus
ENSG00000160326	Q9UGQ3	Lysosome
ENSG00000160408	Q969X2	Golgi apparatus
ENSG00000160439	Q8NBN7	
ENSG00000160446	Q96GR4	
ENSG00000160471	Q6YFQ2	
ENSG00000160539	Q8NBV4	
ENSG00000160688	Q8NFF5	Cytosol
ENSG00000160714	Q7Z7E8	Cytosol;Nucleus
ENSG00000160752	P14324	Cytosol
ENSG00000160868	P08684	Endoplasmic reticulum
ENSG00000160870	P24462	Endoplasmic reticulum
ENSG00000160882	P15538	
ENSG00000160883	P52790	
ENSG00000161013	Q9UQ53	Golgi apparatus
ENSG00000161031	Q96PD5	
ENSG00000161133		
ENSG00000161217	P49585	Cytosol;Endoplasmic reticulum;Nucleus
ENSG00000161267	Q02338	
ENSG00000161281	P24310	
ENSG00000161513	P22570	
ENSG00000161533	Q15067	Peroxisome
ENSG00000161653	Q8N159	
ENSG00000161714	Q8N3E9	Cytosol
ENSG00000161798	P55064	Cytosol
ENSG00000161860	Q6PIF2	Nucleus
ENSG00000161896	Q96PC2	Cytosol
ENSG00000161905	P16050	Cytosol
ENSG00000161980	Q9Y2Y1	Nucleus
ENSG00000162040	Q96QI5	Golgi apparatus
ENSG00000162066	Q9Y303	
ENSG00000162104	O60503	
ENSG00000162139	Q9UQ49	Cytosol;Lysosome
ENSG00000162174	Q7L266	Cytosol
ENSG00000162298	Q86TM6	Endoplasmic reticulum
ENSG00000162365	Q5TCH4	Endoplasmic reticulum
ENSG00000162368	P30085	Cytosol;Nucleus
ENSG00000162383	O00341	
ENSG00000162390	Q8WXI4	Cytosol
ENSG00000162402	Q9UPU5	
ENSG00000162407	O14495	Endoplasmic reticulum;Golgi apparatus
ENSG00000162408	Q5SY16	Nucleus
ENSG00000162433	P27144	
ENSG00000162482	O95154	Cytosol
ENSG00000162496	O75911	
ENSG00000162551	P05186	
ENSG00000162571	Q6ZVT0	
ENSG00000162607	O94782	Nucleus
ENSG00000162623	Q6IPR3	
ENSG00000162630	O43825	Golgi apparatus
ENSG00000162688	P35573	Cytosol;Nucleus
ENSG00000162694	Q9UBQ6	Endoplasmic reticulum
ENSG00000162695	Q8NEW0	
ENSG00000162813	O95861	
ENSG00000162836	Q9NPH0	
ENSG00000162851	Q9H5Q4	
ENSG00000162882	P46952	Cytosol
ENSG00000162885	Q8NCR0	Endoplasmic reticulum;Golgi apparatus
ENSG00000163002	Q8NFH5	Nucleus
ENSG00000163012	Q8NEG5	
ENSG00000163082	Q8IWX5	Endoplasmic reticulum
ENSG00000163106	O60760	Cytosol
ENSG00000163114	P29803	
ENSG00000163131	P25774	Cytosol;Lysosome
ENSG00000163162	Q8NC42	
ENSG00000163218	Q96LB8	
ENSG00000163281	Q8TDQ7	Cytosol
ENSG00000163283	P05187	
ENSG00000163286	P10696	
ENSG00000163295	P09923	
ENSG00000163344	Q15126	Cytosol
ENSG00000163352	Q9Y5L5	
ENSG00000163389	Q8NBL1	Endoplasmic reticulum
ENSG00000163393	Q8IZD6	
ENSG00000163399	P05023	
ENSG00000163406	Q16348	
ENSG00000163481	Q96BH1	
ENSG00000163521	Q6UWU2	
ENSG00000163527	Q8TCJ2	Endoplasmic reticulum
ENSG00000163541	P53597	
ENSG00000163581	P11168	
ENSG00000163586	P07148	Cytosol
ENSG00000163590	Q5SGD2	
ENSG00000163624	Q92903	Endoplasmic reticulum
ENSG00000163631	P02768	
ENSG00000163655	P49915	Cytosol
ENSG00000163659	Q7Z3E1	Nucleus
ENSG00000163684	O95059	Nucleus
ENSG00000163686	Q9BV23	Lysosome
ENSG00000163719	Q8NCE2	Cytosol;Nucleus
ENSG00000163738	Q9H903	
ENSG00000163743	Q96PM5	Cytosol;Nucleus
ENSG00000163751	P15088	
ENSG00000163754	P46976	
ENSG00000163755	Q969F9	Cytosol
ENSG00000163803	Q6P1J6	
ENSG00000163810	P49221	
ENSG00000163812	Q9NYG2	Golgi apparatus
ENSG00000163817	Q9NP91	
ENSG00000163864	Q96T66	
ENSG00000163882	P52434	Nucleus
ENSG00000163902	P04843	Endoplasmic reticulum
ENSG00000163931	P29401	
ENSG00000163958	Q8WVZ1	Cytosol;Golgi apparatus
ENSG00000163959	Q86UW1	Endoplasmic reticulum
ENSG00000163964	Q8TBF5	
ENSG00000164023	Q8NHU3	Golgi apparatus
ENSG00000164039	Q9BUT1	Cytosol
ENSG00000164053	Q8WXE1	Nucleus
ENSG00000164068	Q5XPI4	Cytosol
ENSG00000164089	Q8TBG4	
ENSG00000164100	O95803	Golgi apparatus
ENSG00000164116	Q02108	Cytosol
ENSG00000164120	P15428	Cytosol
ENSG00000164134	Q9BXJ9	Cytosol;Nucleus
ENSG00000164169	Q6P2P2	Cytosol
ENSG00000164172	O96033;O96007	
ENSG00000164181	A1L3X0	Endoplasmic reticulum
ENSG00000164197	Q86T96	
ENSG00000164211	Q96DR4	
ENSG00000164258	O43181	
ENSG00000164294	Q8TED1	
ENSG00000164303	Q6UWR7	
ENSG00000164329	Q6PIY7	Cytosol;Nucleus
ENSG00000164347	Q969S9	
ENSG00000164363	Q96N87	
ENSG00000164398	Q9UKU0	Peroxisome;Endoplasmic reticulum
ENSG00000164405	O14949	
ENSG00000164414	P78382	Golgi apparatus
ENSG00000164434	O15540	Cytosol
ENSG00000164466	Q9H9B4	
ENSG00000164494	Q86YH6	
ENSG00000164535	Q8NCG7	
ENSG00000164574	Q86SR1	Golgi apparatus
ENSG00000164638	Q7RTT9	
ENSG00000164663	Q70CQ1	Nucleus
ENSG00000164687	Q01469	Cytosol;Nucleus
ENSG00000164707	Q9UKG4	
ENSG00000164708	P15259	
ENSG00000164733	P07858	Lysosome
ENSG00000164742	Q08828	Cytosol
ENSG00000164776	Q16816	
ENSG00000164867	P29474	Cytosol;Golgi apparatus
ENSG00000164879	P07451	Cytosol
ENSG00000164889	P04920	
ENSG00000164904	P49419	Cytosol;Nucleus
ENSG00000164919	P09669	
ENSG00000164933	Q9H2D1	
ENSG00000164951	Q9P0J1	
ENSG00000164978	P50583	
ENSG00000165029	O95477	
ENSG00000165055	Q6P1Q9	Cytosol
ENSG00000165059	P22612	
ENSG00000165060	Q16595	Cytosol
ENSG00000165078	Q8N4T0	
ENSG00000165092	P00352	Cytosol
ENSG00000165102	Q68CP4	Lysosome;Endoplasmic reticulum
ENSG00000165140	P09467	
ENSG00000165195	P37287	Endoplasmic reticulum
ENSG00000165264	O95139	
ENSG00000165269	O14520	Cytosol
ENSG00000165272	Q92482	
ENSG00000165275	Q6PF06	
ENSG00000165282	Q8TEQ8	Endoplasmic reticulum
ENSG00000165338	Q5U5R9	
ENSG00000165349	Q8WY07	
ENSG00000165406	Q5T0T0	Cytosol;Lysosome
ENSG00000165434	Q6PCE3	Cytosol
ENSG00000165449	Q7RTY1	
ENSG00000165457	P14207	
ENSG00000165458	O15357	Cytosol;Nucleus
ENSG00000165475	Q9Y2S2	Cytosol
ENSG00000165526	Q96CM3	Cytosol;Nucleus
ENSG00000165591	Q6GMR7	
ENSG00000165609	Q9UKK9	Nucleus
ENSG00000165629	P36542	
ENSG00000165644	Q86VU5	
ENSG00000165646	Q05940	Cytosol
ENSG00000165671	Q96L73	Nucleus
ENSG00000165672	P30048	Cytosol
ENSG00000165688	Q10713	
ENSG00000165695	Q96MA6	Cytosol
ENSG00000165704	P00492	Cytosol
ENSG00000165782	Q86T03	Cytosol;Lysosome
ENSG00000165792	Q9H7H0	
ENSG00000165794	Q9NP94	
ENSG00000165819	Q86U44	Cytosol;Nucleus
ENSG00000165841	P33261	Endoplasmic reticulum
ENSG00000165970	Q9Y345	
ENSG00000165996	B0YJ81	Endoplasmic reticulum
ENSG00000166016	Q8N961	
ENSG00000166035	P11150	
ENSG00000166123	Q8TD30	
ENSG00000166126	Q9BXJ7	
ENSG00000166135	Q9NWT6	Cytosol;Nucleus
ENSG00000166136	O95169	
ENSG00000166165	P12277	Cytosol
ENSG00000166169	Q9UGP5	Nucleus
ENSG00000166183	Q86U10	
ENSG00000166224	O95470	Cytosol;Endoplasmic reticulum
ENSG00000166228	P61457	Cytosol;Nucleus
ENSG00000166262	Q96M60	
ENSG00000166311	P17405	Lysosome
ENSG00000166340	O14773	Lysosome
ENSG00000166349	P15918	Nucleus
ENSG00000166391	Q3SYC2	Cytosol;Endoplasmic reticulum
ENSG00000166394	Q6BCY4	
ENSG00000166411	P50213	
ENSG00000166428	Q96BZ4	
ENSG00000166479	Q96JJ7	Endoplasmic reticulum
ENSG00000166507	P52849	Golgi apparatus
ENSG00000166548	O00142	
ENSG00000166562	Q9BY50	Endoplasmic reticulum
ENSG00000166741	P40261	Cytosol
ENSG00000166743	Q08AH1	
ENSG00000166747	O43747	Cytosol;Golgi apparatus
ENSG00000166794	P23284	Endoplasmic reticulum
ENSG00000166796	P07864	Cytosol
ENSG00000166800	Q6ZMR3	
ENSG00000166816	Q86WU2	
ENSG00000166819	O60240	Endoplasmic reticulum
ENSG00000166821	O75192	Peroxisome
ENSG00000166825	P15144	
ENSG00000166840	Q969I3	
ENSG00000166908	Q8TBX8	Cytosol;Endoplasmic reticulum
ENSG00000166948	O95932	Cytosol
ENSG00000166986	P56192	Cytosol;Nucleus
ENSG00000167004	P30101	Endoplasmic reticulum
ENSG00000167011	Q8N8M0	
ENSG00000167080	Q8NHY0	Golgi apparatus
ENSG00000167103	Q5T9C9	
ENSG00000167107	Q96CM8	
ENSG00000167114	Q6P1M0	Endoplasmic reticulum
ENSG00000167123	Q5T4B2	Endoplasmic reticulum
ENSG00000167130	Q86YN1	
ENSG00000167165	P19224	Endoplasmic reticulum
ENSG00000167186	Q99807	Nucleus
ENSG00000167261	Q9H4A9	
ENSG00000167280	Q8NFI3	
ENSG00000167283	O75964	
ENSG00000167306	Q9ULV0	Cytosol
ENSG00000167311	Q96L15	
ENSG00000167315	P42765	
ENSG00000167325	P23921	Cytosol
ENSG00000167363	Q9H479	
ENSG00000167371	Q7Z6L0	Cytosol
ENSG00000167397	Q9BQB6	Endoplasmic reticulum
ENSG00000167419	P22079	Cytosol
ENSG00000167434	P22748	
ENSG00000167468	P36969	Cytosol
ENSG00000167508	P53602	Cytosol
ENSG00000167531	P00709	
ENSG00000167548	O14686	Nucleus
ENSG00000167580	P41181	Cytosol;Golgi apparatus
ENSG00000167588	P21695	Cytosol
ENSG00000167600	Q96SQ9	Endoplasmic reticulum
ENSG00000167658	P13639	Cytosol;Nucleus
ENSG00000167676	Q96Q06	Cytosol
ENSG00000167699	Q9HC38	
ENSG00000167701	P24298	Cytosol
ENSG00000167703	Q8N370	
ENSG00000167720	Q9GZT4	
ENSG00000167733	Q7Z5J1	
ENSG00000167741	Q6P531	
ENSG00000167748	P06870	
ENSG00000167751	P20151	
ENSG00000167769	Q8TDN7	Endoplasmic reticulum
ENSG00000167772	Q9BY76	
ENSG00000167780	O75908	Endoplasmic reticulum
ENSG00000167792	P49821	
ENSG00000167815	P32119	Cytosol
ENSG00000167862	Q14197	
ENSG00000167863	O75947	
ENSG00000167889	Q3V5L5	Golgi apparatus
ENSG00000167900	P04183	Cytosol
ENSG00000167910	P22680	Endoplasmic reticulum
ENSG00000167969	P42126	
ENSG00000167972	Q99758	Cytosol;Lysosome;Endoplasmic reticulum
ENSG00000167996	P02794	
ENSG00000168000	Q96G97	Endoplasmic reticulum
ENSG00000168002	P62487	Nucleus
ENSG00000168003	P08195	Lysosome
ENSG00000168032	O75355	
ENSG00000168065	Q9NSA0	
ENSG00000168092	P68402	Cytosol
ENSG00000168137	Q9C0A6	Nucleus
ENSG00000168159	Q5TA31	Cytosol;Nucleus
ENSG00000168237	Q8IVS8	Cytosol
ENSG00000168282	Q10469	Golgi apparatus
ENSG00000168291	P11177	
ENSG00000168306	Q99424	Peroxisome
ENSG00000168350	Q6QHC5	Endoplasmic reticulum
ENSG00000168393	P23919	
ENSG00000168411	Q6PCD5	Cytosol;Nucleus
ENSG00000168487	P13497	Golgi apparatus
ENSG00000168495	P05423	Nucleus
ENSG00000168522	P49354	
ENSG00000168575	Q08357	
ENSG00000168653	O43920	
ENSG00000168671	Q3SY77	
ENSG00000168679	O15374	
ENSG00000168710	O43865	Cytosol;Endoplasmic reticulum
ENSG00000168748	P43166	Cytosol
ENSG00000168765	Q03013	Cytosol
ENSG00000168781	Q6PFW1	Cytosol
ENSG00000168806	O60294	
ENSG00000168827	Q96RP9	
ENSG00000168906	P31153	
ENSG00000168907	Q68DD2	Cytosol
ENSG00000168918	Q92835	Cytosol
ENSG00000168938	P45877	Cytosol
ENSG00000168970		
ENSG00000169020	P56385	
ENSG00000169021	P47985	
ENSG00000169100	P12236	
ENSG00000169105	Q8NCH0	Golgi apparatus
ENSG00000169154	Q8NHS2	
ENSG00000169169	Q8TCG5	Endoplasmic reticulum
ENSG00000169180	Q96QU8	Cytosol;Nucleus
ENSG00000169239	Q9Y2D0	
ENSG00000169255	O75752	Golgi apparatus
ENSG00000169299	Q96G03	Cytosol
ENSG00000169359	O00400	Endoplasmic reticulum
ENSG00000169375	Q96ST3	Nucleus
ENSG00000169418	P16066	
ENSG00000169519	A6NJ78	
ENSG00000169660	Q8WVB3	Cytosol;Nucleus
ENSG00000169692	O15120	Endoplasmic reticulum
ENSG00000169710	P49327	Cytosol
ENSG00000169738	Q7Z4W1	
ENSG00000169764	Q16851	Cytosol
ENSG00000169814	P43251	
ENSG00000169826	Q8N6G5	Golgi apparatus
ENSG00000169902	O60507	Golgi apparatus
ENSG00000169919	P08236	Lysosome
ENSG00000170035	Q969T4	Cytosol;Nucleus
ENSG00000170142	P51965	Nucleus
ENSG00000170185	Q8NB14	
ENSG00000170190	O15375	
ENSG00000170191	Q8TBE9	
ENSG00000170222	Q3LIE5	
ENSG00000170231	P51161	Cytosol;Nucleus
ENSG00000170242	Q96K76	Cytosol
ENSG00000170266	P16278	Cytosol;Lysosome
ENSG00000170271	Q96IV6	Cytosol
ENSG00000170323	P15090	Cytosol;Nucleus
ENSG00000170340	Q9NY97	Golgi apparatus
ENSG00000170364	Q53H47	Nucleus
ENSG00000170385	Q9Y6M5	
ENSG00000170426	Q8NEX9	
ENSG00000170430	P16455	Nucleus
ENSG00000170439	Q6UX53	
ENSG00000170445	P12081	Cytosol
ENSG00000170482	Q9UHI7	
ENSG00000170485	Q99743	Nucleus
ENSG00000170502	Q9BW91	
ENSG00000170516	Q8TF08	
ENSG00000170522	Q9H5J4	Endoplasmic reticulum
ENSG00000170525	Q16875	
ENSG00000170634	P14621	
ENSG00000170734	Q9Y253	Nucleus
ENSG00000170786	Q8N3Y7	Endoplasmic reticulum
ENSG00000170832	Q8NFA0	Golgi apparatus
ENSG00000170835	P19835	
ENSG00000170881	Q8WU17	Endoplasmic reticulum
ENSG00000170890	P04054	
ENSG00000170899	O15217	Cytosol
ENSG00000170906	O95167	
ENSG00000170950	P07205	Cytosol
ENSG00000170961	Q92819	Lysosome;Endoplasmic reticulum;Golgi apparatus
ENSG00000171004	Q96MM7	
ENSG00000171097	Q16773	Cytosol
ENSG00000171100	Q13496	Cytosol
ENSG00000171124	P21217	Golgi apparatus
ENSG00000171155	Q96EU7	
ENSG00000171174	Q9H477	Cytosol;Nucleus
ENSG00000171234	P16662	Endoplasmic reticulum
ENSG00000171298	P10253	Lysosome
ENSG00000171302	Q8WVQ1	Endoplasmic reticulum;Golgi apparatus
ENSG00000171307	Q969W1	Endoplasmic reticulum
ENSG00000171310	Q9NPF2	Golgi apparatus
ENSG00000171314	P18669	
ENSG00000171320	Q56NI9	Nucleus
ENSG00000171408	Q9NP56	
ENSG00000171428	P18440	Cytosol
ENSG00000171453	O15160	Nucleus
ENSG00000171497	Q08752	Cytosol;Nucleus
ENSG00000171503	Q16134	
ENSG00000171560	P02671	
ENSG00000171608	O00329	Cytosol
ENSG00000171720	O15379	Cytosol;Nucleus
ENSG00000171723	Q9NQX3	Cytosol
ENSG00000171759	P00439	
ENSG00000171766	P50440	Cytosol
ENSG00000171793	P17812	Cytosol
ENSG00000171806	O95568	Cytosol;Nucleus
ENSG00000171848	P31350	Cytosol;Nucleus
ENSG00000171861	Q9HC36	
ENSG00000171862	P60484	Cytosol;Nucleus
ENSG00000171885	P55087	
ENSG00000171903	Q9HBI6	Endoplasmic reticulum
ENSG00000171954	Q6NT55	Endoplasmic reticulum
ENSG00000171960	O43447	Cytosol;Nucleus
ENSG00000171989	Q9BYZ2	
ENSG00000172009	P52888	Cytosol
ENSG00000172046	O94966	Endoplasmic reticulum
ENSG00000172053	P47897	Cytosol
ENSG00000172113	O75414	
ENSG00000172197	Q6ZNC8	
ENSG00000172236	Q15661	
ENSG00000172264	A1Z1Q3	Nucleus
ENSG00000172269	Q9H3H5	Endoplasmic reticulum
ENSG00000172288	Q9Y6F8	Nucleus
ENSG00000172292	Q6ZMG9	Endoplasmic reticulum
ENSG00000172296	Q9NUV7	Endoplasmic reticulum
ENSG00000172318	Q9Y5Z6	Golgi apparatus
ENSG00000172331	P07738	
ENSG00000172339	Q96F25	Endoplasmic reticulum;Nucleus
ENSG00000172340	Q96I99	
ENSG00000172345	Q9NSY2	
ENSG00000172352	Q9Y6F8	Nucleus
ENSG00000172456	Q96C11	
ENSG00000172461	Q9Y231	Golgi apparatus
ENSG00000172482	P21549	Peroxisome
ENSG00000172497	Q8WYK0	Cytosol
ENSG00000172508	A5YM72	
ENSG00000172531	P62136	Cytosol;Nucleus
ENSG00000172543	P56202	Endoplasmic reticulum
ENSG00000172572	Q14432	Cytosol
ENSG00000172613	Q99638	Nucleus
ENSG00000172728	Q6P4F1	Lysosome;Endoplasmic reticulum;Golgi apparatus
ENSG00000172782		
ENSG00000172817	O75881	Endoplasmic reticulum
ENSG00000172828	Q6UWW8	Endoplasmic reticulum
ENSG00000172831	O00748	Endoplasmic reticulum
ENSG00000172840	Q9P2J9	
ENSG00000172890	Q6IA69	
ENSG00000172893	Q9UBM7	Endoplasmic reticulum
ENSG00000172940	Q9Y226	
ENSG00000172954	Q6UWP7	Endoplasmic reticulum
ENSG00000172955	P28332	Cytosol
ENSG00000172977	Q92993	Cytosol;Nucleus
ENSG00000172985	Q8TEJ3	
ENSG00000172987	Q8WWQ2	
ENSG00000173020	P25098	Cytosol
ENSG00000173083	Q9Y251	Lysosome;Nucleus
ENSG00000173085	Q96H96	
ENSG00000173175	O95622	
ENSG00000173193	Q460N5	Cytosol;Nucleus
ENSG00000173200	Q460N3	Nucleus
ENSG00000173208	Q9UBJ2	Peroxisome
ENSG00000173221	P35754	Cytosol
ENSG00000173262	Q8TDB8	
ENSG00000173273	O95271	Cytosol;Golgi apparatus;Nucleus
ENSG00000173281	Q86XI6	
ENSG00000173418	P61599	Cytosol;Nucleus
ENSG00000173486	P26885	Endoplasmic reticulum
ENSG00000173540	Q9Y5P6	Cytosol
ENSG00000173597	O43704	Cytosol
ENSG00000173598	Q9NZJ9	Cytosol
ENSG00000173599	P11498	
ENSG00000173610	P0DTE4	Endoplasmic reticulum
ENSG00000173614	Q9HAN9	Nucleus
ENSG00000173627	Q8WW27	
ENSG00000173638	P41440	
ENSG00000173660	P07919	
ENSG00000173786	P09543	
ENSG00000173838	Q8NA82	
ENSG00000173868	Q8TCT1	
ENSG00000173915	Q96IX5	
ENSG00000173926	Q86UD3	Cytosol
ENSG00000174080	Q9UBX1	Lysosome
ENSG00000174156	Q16772	Cytosol
ENSG00000174165	Q6UX98	
ENSG00000174173	Q7L0Y3	
ENSG00000174227	Q5H8A4	Endoplasmic reticulum
ENSG00000174233	O43306	
ENSG00000174327	Q7RTY0	Golgi apparatus
ENSG00000174358	Q695T7	
ENSG00000174437	P16615	Endoplasmic reticulum
ENSG00000174448	P59095	
ENSG00000174473	Q49A17	
ENSG00000174502	Q7LBE3	
ENSG00000174607	Q16880	Endoplasmic reticulum
ENSG00000174640	Q92959	
ENSG00000174669	Q14542	Nucleus
ENSG00000174684	O43505	Golgi apparatus
ENSG00000174876	P0DUB6;P0DTE7	
ENSG00000174886	Q86Y39	
ENSG00000174915	Q9BVG9	Endoplasmic reticulum
ENSG00000174951	P19526	Golgi apparatus
ENSG00000174990	P35218	
